No,B,V,mas,T
1,9.012,8.505,10.67,5370
2,7.994,7.559,11.81,7000
3,9.571,9.048,9.85,5940
4,9.656,9.119,9.06,6200
5,9.979,9.302,9.71,5560
6,9.305,8.840,5.59,6800
7,8.394,8.241,3.60,9980
8,8.545,8.102,9.17,6800
9,6.953,6.429,12.82,6250
10,7.914,7.443,11.10,6900
11,9.406,8.621,23.86,5500
12,8.588,8.184,6.23,7030
13,7.205,6.171,7.82,4700
14,8.784,8.578,3.98,8400
15,8.036,7.513,14.77,5790
16,9.118,8.246,33.77,4830
17,7.576,7.046,25.89,6500
18,8.741,8.335,6.15,7000
19,9.267,8.267,5.34,4800
20,6.308,6.350,4.78,11400
21,8.946,8.534,8.39,7000
22,8.300,7.821,7.67,6370
23,9.637,8.975,10.86,5650
24,9.206,8.675,4.71,6370
25,8.970,8.399,15.68,5790
26,9.220,8.569,23.38,5560
27,10.387,9.564,18.79,4550
28,8.071,8.038,3.45,10500
29,8.234,7.795,4.46,6300
30,6.617,5.701,5.76,4800
31,8.131,7.638,9.18,6650
32,8.732,8.121,16.87,6250
33,10.675,10.055,10.52,5190
34,9.175,8.661,7.94,6650
35,10.397,9.862,6.32,6200
36,10.350,9.864,7.40,6650
37,8.824,8.284,9.26,6500
38,9.885,9.324,8.13,6200
39,7.184,6.214,4.88,4900
40,7.123,5.535,5.84,3540
41,7.610,7.210,5.44,7460
42,9.024,8.588,8.18,6900
43,8.048,6.828,3.74,4390
44,9.076,8.706,5.19,7000
45,9.883,9.354,6.51,6500
46,9.274,8.652,20.06,5560
47,7.754,6.591,6.21,4390
48,9.574,9.036,8.89,6200
49,11.376,10.338,20.09,4250
50,5.005,5.120,7.88,12000
51,8.748,8.154,4.23,5750
52,8.128,7.054,7.73,4500
53,9.338,8.854,5.28,5750
54,8.220,7.772,7.61,6900
55,8.086,7.086,7.23,4660
56,7.231,6.927,16.87,7350
57,8.970,7.968,4.44,4700
58,9.532,8.864,9.52,5700
59,7.446,6.893,15.06,5940
60,4.894,5.026,6.40,17500
61,9.322,8.435,29.63,4550
62,9.067,8.498,11.73,5750
63,6.526,6.327,7.38,7750
64,9.454,8.928,6.69,6650
65,9.128,8.628,10.44,6370
66,6.015,5.692,26.39,7300
67,8.131,7.605,8.36,5750
68,7.306,7.227,4.01,9980
69,8.935,8.534,8.89,7300
70,7.407,7.282,2.85,9980
71,9.413,8.404,4.19,4800
72,9.128,8.539,10.94,5750
73,8.156,7.698,7.51,7030
74,9.510,9.024,7.69,6800
75,8.170,7.638,9.48,5750
76,8.892,8.447,8.43,7030
77,8.446,8.421,5.03,9790
78,6.790,6.243,16.45,6200
79,8.847,7.807,4.19,4660
80,8.548,7.888,3.32,5750
81,10.711,9.736,18.26,4250
82,8.413,8.085,8.98,7460
83,9.317,8.755,13.06,5750
84,6.774,6.718,5.94,9380
85,8.381,7.959,11.73,6900
86,9.991,9.569,6.26,7000
87,7.539,7.392,4.53,9380
88,8.128,7.482,15.31,5370
89,7.324,6.967,15.46,7000
90,8.282,8.140,5.17,9380
91,8.333,7.780,15.05,5940
92,8.791,8.296,13.23,6500
93,8.289,7.886,8.50,7150
94,9.013,8.229,25.15,5310
95,6.857,6.790,6.61,9380
96,8.934,8.418,9.72,6650
97,4.506,4.541,14.42,10500
98,8.406,8.258,6.09,9380
99,8.383,7.650,20.43,5560
100,7.401,7.084,13.65,7460
101,8.767,8.527,4.65,7600
102,10.229,9.538,12.18,5560
103,8.515,8.121,10.25,6800
104,8.814,8.270,5.19,5370
105,10.213,9.600,6.61,6250
106,7.585,7.243,5.84,7460
107,8.227,7.920,5.36,7300
108,9.527,8.911,10.06,5700
109,9.003,8.512,8.18,6370
110,8.364,7.360,6.17,4310
111,9.182,8.576,14.55,5750
112,6.999,7.072,4.23,11400
113,10.522,9.817,9.07,5500
114,8.970,8.399,6.21,6500
115,10.342,9.614,11.88,4930
116,8.600,8.555,3.99,9500
117,8.609,8.123,15.01,6500
118,10.159,9.628,7.94,5940
119,6.870,5.770,11.65,4660
120,6.387,6.374,7.76,9500
121,9.826,8.798,5.34,4500
122,9.227,8.586,16.71,4930
123,10.644,9.789,22.40,5150
124,11.217,10.413,13.02,4550
125,9.034,8.427,10.10,5940
126,7.785,7.320,10.84,7000
127,9.732,9.086,16.98,5650
128,7.804,7.368,11.23,6650
129,5.486,5.584,5.61,11100
130,6.735,5.678,10.23,4500
131,9.354,8.567,7.36,4930
132,8.562,8.177,5.86,7000
133,8.286,8.270,5.59,9790
134,7.668,6.252,5.19,4150
135,8.571,7.813,39.27,5250
136,8.630,8.145,6.38,6370
137,9.663,8.998,11.46,5700
138,8.064,7.531,13.90,6250
139,8.829,8.118,22.10,5560
140,8.857,8.397,8.52,6650
141,7.409,6.462,7.59,4800
142,8.281,7.744,19.52,5940
143,9.366,8.939,8.19,7030
144,9.550,8.814,8.68,4930
145,7.395,6.298,6.96,4700
146,5.725,5.790,4.53,11100
147,8.112,7.527,23.64,5940
148,6.756,6.685,6.48,9500
149,8.734,8.133,14.40,5940
150,9.312,8.677,10.97,5700
151,8.222,7.087,6.09,4500
152,9.767,9.303,10.22,6800
153,7.076,7.076,5.26,10500
154,7.869,6.929,4.51,5310
155,8.817,7.723,4.98,4660
156,9.904,9.131,9.63,5310
157,8.631,7.580,4.67,4660
158,8.371,7.381,4.73,4660
159,9.486,8.809,18.70,5560
160,9.885,9.126,22.30,4930
161,7.598,7.136,19.70,6500
162,10.434,9.673,7.01,5560
163,8.364,7.363,4.05,4660
164,8.843,8.215,20.95,5370
165,6.439,5.541,8.73,5050
166,10.826,10.164,7.23,4930
167,9.862,9.371,6.42,6500
168,10.619,9.982,8.14,5500
169,8.109,7.506,24.95,5940
170,8.039,7.449,26.36,5750
171,10.067,9.562,6.57,5370
172,9.595,8.774,25.48,4550
173,8.171,7.922,4.15,9000
174,8.598,7.484,5.59,4500
175,10.291,9.645,12.90,5700
176,9.307,8.213,5.46,4500
177,7.875,7.906,4.50,10500
178,9.336,8.859,5.92,6650
179,9.218,8.725,7.00,6200
180,8.232,7.965,4.65,7750
181,7.722,7.307,6.42,7000
182,8.970,8.355,8.22,5900
183,5.546,5.565,3.45,10500
184,7.671,6.684,5.25,4700
185,6.827,6.065,72.90,5150
186,8.753,7.711,4.88,4800
187,9.097,8.550,5.57,6200
188,10.522,9.843,10.02,5370
189,8.777,8.208,9.02,6250
190,9.121,8.715,6.34,6800
191,6.579,6.181,25.59,7000
192,9.022,7.916,5.05,4700
193,9.520,8.975,6.65,6500
194,8.807,8.230,18.65,5900
195,10.368,9.637,15.93,4930
196,8.670,8.282,8.39,7460
197,8.753,8.236,4.19,6370
198,7.656,7.436,7.05,8610
199,8.822,8.395,5.11,6900
200,9.520,9.173,5.82,7030
201,9.581,9.335,6.30,7350
202,7.967,7.548,11.89,6650
203,8.279,7.861,4.30,7030
204,8.831,8.218,17.34,5940
205,6.337,6.198,6.23,9000
206,9.576,8.935,8.44,5700
207,7.565,7.048,20.59,6650
208,7.939,7.473,7.48,6650
209,8.822,8.555,5.42,8610
210,9.477,8.690,30.79,5150
211,8.967,8.501,10.10,6370
212,9.026,8.440,8.48,6200
213,8.786,8.201,8.13,5940
214,8.718,8.342,9.26,7460
215,8.388,7.382,5.44,4660
216,8.472,8.001,9.19,6370
217,6.317,6.434,6.46,11100
218,9.550,8.569,6.98,4660
219,7.846,7.660,5.65,9000
220,8.423,7.809,21.92,5370
221,9.671,9.069,11.27,5560
222,8.340,7.843,10.53,6650
223,7.342,7.171,8.97,8600
224,10.187,9.727,6.28,6800
225,7.303,7.110,8.18,8610
226,10.024,9.678,6.61,7350
227,6.777,5.657,10.10,4500
228,8.755,8.152,10.03,5750
229,7.678,7.034,35.84,5700
230,7.015,5.980,9.88,4800
231,10.074,9.223,57.50,4800
232,9.963,9.397,10.81,5370
233,8.293,7.597,25.25,5790
234,12.178,10.720,45.70,3620
235,8.098,7.585,7.69,6800
236,9.913,9.222,11.10,5650
237,8.135,7.767,14.18,6370
238,9.380,8.935,9.43,6370
239,8.187,7.754,9.15,7030
240,8.746,7.374,3.00,4250
241,8.034,7.059,6.26,4660
242,7.427,7.427,6.34,9980
243,8.342,7.876,5.00,6900
244,9.135,8.644,6.78,6900
245,8.291,7.802,8.69,6650
246,7.743,7.429,11.22,7460
247,10.026,9.545,4.67,6650
248,7.218,6.243,7.61,4660
249,9.000,8.456,12.69,5370
250,9.508,8.607,31.51,4310
251,8.378,7.722,18.44,5940
252,6.604,5.553,11.31,4700
253,8.192,7.760,6.40,6900
254,9.265,8.565,10.43,4930
255,9.616,9.222,6.42,6370
256,10.008,9.182,8.46,5310
257,7.584,7.109,8.67,6370
258,6.926,7.035,2.97,15200
259,9.930,9.255,6.67,5700
260,9.777,9.243,5.80,5370
261,8.468,7.774,21.64,5370
262,10.053,9.586,7.82,6500
263,9.064,8.565,7.61,6800
264,4.899,3.875,23.29,4660
265,7.199,7.164,5.17,10500
266,9.206,8.517,16.27,5700
267,9.145,8.074,4.63,4500
268,9.062,8.491,5.51,5370
269,9.197,8.548,14.14,5700
270,9.305,8.407,12.47,5150
271,6.502,6.333,7.26,7750
272,8.902,8.295,18.71,5700
273,8.159,7.184,4.63,4500
274,8.885,7.919,4.32,4660
275,5.474,5.535,10.23,10500
276,8.585,8.133,9.56,6900
277,7.960,7.784,7.17,9000
278,7.434,7.096,10.21,6900
279,8.357,7.877,11.15,6650
280,8.755,8.366,7.71,6370
281,10.689,10.024,7.13,5370
282,9.765,9.369,5.38,6900
283,6.827,5.842,18.47,4500
284,5.447,5.024,2.80,6500
285,9.925,9.505,6.84,6800
286,9.826,9.324,4.71,6650
287,8.899,8.380,10.18,6200
288,9.505,8.927,13.60,5790
289,8.869,8.352,6.25,6200
290,9.435,8.942,7.59,5370
291,8.729,8.230,12.88,6500
292,6.646,6.722,6.11,12500
293,8.265,6.809,4.63,4150
294,9.293,8.717,5.48,6200
295,8.357,8.277,4.88,9980
296,9.038,8.463,15.76,4930
297,9.449,8.944,9.00,6370
298,9.246,8.546,4.63,5700
299,6.856,5.855,15.27,4660
300,9.262,8.673,7.94,5790
301,8.190,7.765,8.65,7030
302,7.932,7.897,4.07,9980
303,9.404,8.885,6.21,6370
304,9.000,8.553,12.31,6650
305,9.605,9.114,9.52,5750
306,9.383,8.887,8.35,6650
307,8.401,8.211,7.28,9380
308,7.758,6.732,3.81,4660
309,5.392,4.894,52.70,6650
310,9.322,8.595,15.14,5500
311,8.708,7.939,29.22,5150
312,8.810,8.223,18.69,5370
313,8.954,8.468,11.64,6900
314,9.845,9.116,21.36,5300
315,8.899,7.745,4.63,4390
316,8.963,8.348,16.86,5650
317,8.201,7.671,9.72,6200
318,7.916,6.919,7.80,4660
319,9.918,9.038,27.38,4800
320,8.112,7.197,4.88,4800
321,9.366,8.854,8.06,6500
322,9.241,8.607,20.36,5370
323,5.698,5.237,45.77,6800
324,8.916,8.432,10.90,6650
325,9.362,8.711,9.26,5650
326,9.647,9.032,16.38,5700
327,10.263,9.692,9.97,5900
328,10.038,9.348,10.67,5560
329,8.286,7.902,11.03,7000
330,7.570,6.520,7.96,4660
331,7.698,6.171,6.11,4150
332,7.566,6.578,6.94,4660
333,7.574,7.178,11.00,7460
334,7.610,6.546,5.88,4660
335,8.371,7.624,17.02,5560
336,9.109,8.654,10.73,6650
337,8.703,8.241,9.86,6650
338,7.760,7.421,10.40,7460
339,11.138,10.527,8.77,5370
340,10.684,10.067,9.06,5650
341,9.413,9.001,5.46,6900
342,8.824,8.170,19.29,4930
343,10.227,9.236,5.42,4660
344,9.397,8.647,21.00,5250
345,9.225,8.876,4.71,7460
346,8.182,8.135,5.90,9500
347,8.878,7.960,15.44,4800
348,9.385,8.515,4.03,4950
349,8.267,7.197,4.73,4660
350,8.501,7.519,4.44,4660
351,10.045,9.263,8.27,4930
352,7.035,6.618,17.75,7030
353,7.997,7.217,48.84,5150
354,9.265,8.838,4.59,6370
355,8.588,8.184,7.38,7460
356,8.647,7.688,5.78,4900
357,9.168,8.746,11.14,6370
358,7.568,6.515,7.15,4500
359,8.012,7.560,14.50,6650
360,8.371,7.968,11.22,7000
361,7.919,7.452,10.40,6650
362,8.036,7.708,10.59,7460
363,7.368,7.303,3.57,9980
364,10.034,8.803,4.30,4390
365,6.052,5.708,27.95,7300
366,9.946,9.034,30.12,4800
367,8.277,8.189,5.07,9980
368,7.502,5.947,3.43,4050
369,7.165,6.960,9.57,8180
370,7.974,6.872,6.44,4500
371,7.835,7.394,13.28,7030
372,8.621,8.076,9.51,5370
373,9.477,8.727,23.02,5500
374,7.670,7.150,14.48,6500
375,9.565,8.930,10.90,5900
376,7.992,6.907,3.05,4800
377,8.352,7.410,4.21,4950
378,9.706,9.204,6.61,6650
379,6.234,6.215,11.25,9500
380,8.784,8.369,5.48,6800
381,8.998,8.366,23.52,4800
382,7.530,6.987,9.53,6200
383,7.853,7.316,21.85,6200
384,8.539,8.076,13.35,6650
385,7.130,6.657,21.68,6650
386,8.434,8.204,4.15,7600
387,7.875,7.829,4.51,9980
388,8.118,7.406,20.20,5560
389,7.390,6.888,18.17,6200
390,8.324,6.649,2.61,3600
391,10.248,9.397,11.11,4800
392,8.800,8.267,7.30,6250
393,9.574,8.946,7.67,5790
394,7.452,6.951,12.15,6650
395,9.979,9.489,8.25,6500
396,6.380,4.806,10.07,3540
397,7.500,7.019,11.85,6500
398,6.085,4.453,7.30,3600
399,9.840,9.171,13.93,5700
400,9.746,9.072,11.94,5370
401,8.303,7.130,3.91,4390
402,9.003,8.475,8.56,6500
403,7.078,6.810,11.22,8000
404,9.175,8.633,7.07,5750
405,5.695,5.756,9.30,10500
406,8.229,6.664,4.82,3690
407,6.247,6.241,9.25,9790
408,8.921,8.423,7.01,5750
409,9.381,8.968,7.92,6900
410,9.609,9.088,9.17,5940
411,9.267,8.571,22.86,5500
412,8.352,7.335,6.28,4700
413,8.375,7.969,11.10,7030
414,9.477,8.984,6.15,5750
415,6.348,6.342,7.67,9500
416,9.307,8.394,4.73,4660
417,9.868,9.376,5.96,6800
418,9.090,8.682,5.03,7000
419,8.769,7.754,8.98,4660
420,8.090,7.666,7.88,6900
421,7.791,7.330,10.35,6370
422,8.770,8.515,5.94,7500
423,10.680,9.996,8.06,5370
424,9.418,8.906,6.11,6200
425,8.592,8.234,7.46,7460
426,9.038,8.564,5.32,7030
427,9.086,8.534,11.48,6200
428,7.935,7.890,4.19,9790
429,9.595,9.038,10.02,5900
430,7.172,7.122,6.98,9790
431,9.119,8.546,13.77,5940
432,10.496,9.751,19.09,5310
433,10.001,9.340,13.77,5560
434,9.432,9.005,5.98,6370
435,9.822,8.826,23.89,4310
436,7.341,6.584,56.81,5500
437,9.631,8.923,14.93,5500
438,10.229,9.753,7.65,5750
439,10.310,9.753,8.64,5940
440,6.202,6.135,10.50,9000
441,9.418,8.784,12.80,5700
442,9.659,9.053,9.36,5790
443,12.309,11.060,21.80,3990
444,9.656,9.180,5.55,6900
445,9.760,9.175,5.94,6250
446,8.909,7.727,5.57,4390
447,8.746,7.811,4.86,4800
448,9.041,8.562,5.28,6900
449,7.383,7.150,7.90,7500
450,7.863,7.640,8.19,8250
451,7.735,6.657,5.88,4660
452,6.390,6.489,5.46,14000
453,10.968,9.996,24.01,4250
454,9.185,8.574,10.27,5750
455,7.639,7.467,9.92,9000
456,8.480,8.013,7.28,6650
457,7.245,6.776,8.88,6300
458,10.590,10.046,7.82,5750
459,9.310,8.864,7.59,6900
460,9.515,8.652,29.95,4550
461,8.791,8.520,5.05,7350
462,9.539,8.904,15.46,5790
463,9.791,9.208,13.44,5900
464,8.060,6.940,7.13,4660
465,6.631,5.735,5.19,4800
466,8.772,7.644,5.17,4500
467,7.659,7.602,3.32,9980
468,9.147,8.376,7.34,5500
469,8.873,8.430,6.59,6900
470,5.776,5.852,3.56,12000
471,8.961,8.487,7.51,6650
472,8.000,7.890,7.03,9380
473,7.979,7.927,3.35,10500
474,8.626,7.940,27.48,5560
475,9.578,8.956,9.89,5700
476,8.826,8.303,11.31,6500
477,8.335,7.770,11.35,6250
478,9.361,8.805,10.92,5370
479,6.861,6.454,21.00,6900
480,8.513,7.554,4.11,4800
481,8.828,8.255,10.52,5940
482,12.394,10.970,28.37,3620
483,7.946,7.669,7.96,7500
484,9.645,9.385,5.28,8610
485,7.106,6.177,10.43,4660
486,7.706,7.199,21.62,6500
487,10.156,9.562,8.43,5700
488,9.413,8.847,16.19,5940
489,7.497,6.526,7.13,4800
490,9.152,8.156,4.88,4660
491,10.298,9.685,8.72,5940
492,7.513,7.190,12.14,7300
493,9.946,9.293,10.59,5560
494,9.015,8.425,3.47,6200
495,7.090,6.052,7.03,4660
496,9.171,8.671,5.92,6650
497,9.505,8.934,14.11,5370
498,4.592,4.505,22.57,9000
499,8.401,7.264,4.21,4390
500,8.317,7.077,6.23,4250
501,9.788,8.852,45.70,4830
502,8.440,7.873,9.17,5750
503,8.486,7.961,7.32,6370
504,8.006,7.461,24.45,5940
505,7.126,7.179,3.90,10500
506,7.947,7.473,14.93,6500
507,5.867,5.873,5.71,9790
508,7.168,7.046,9.35,9380
509,8.946,8.347,16.70,5940
510,6.026,6.097,4.67,11400
511,7.551,6.323,8.40,4390
512,9.696,9.256,4.67,6800
513,9.654,8.727,6.32,4660
514,8.729,8.156,7.88,6200
515,10.161,9.453,9.27,5560
516,9.175,8.744,8.52,6900
517,8.046,7.682,6.01,7460
518,8.039,7.829,7.90,8610
519,9.607,9.149,7.80,6900
520,11.116,9.887,48.15,4000
521,9.916,9.220,6.61,5370
522,10.178,9.529,12.23,5700
523,8.307,7.901,11.85,7150
524,8.826,8.123,19.14,5700
525,8.489,7.566,4.21,4800
526,8.149,8.050,3.65,9980
527,4.782,3.546,11.46,4390
528,9.774,9.321,6.90,6370
529,8.762,7.954,11.50,5310
530,9.067,8.484,12.98,6250
531,7.545,7.020,21.55,6200
532,9.354,8.755,14.60,5900
533,7.530,6.346,5.98,4500
534,8.520,7.956,16.29,5940
535,9.390,9.095,3.97,8610
536,10.248,9.649,8.71,5790
537,7.802,6.956,8.53,5310
538,9.008,8.663,4.42,6500
539,8.600,7.618,7.53,4660
540,7.603,6.968,40.31,5370
541,6.572,6.532,3.63,9790
542,7.862,6.840,8.18,4800
543,9.453,8.939,8.52,5750
544,10.645,9.821,14.35,4800
545,8.706,7.572,5.61,4500
546,9.942,9.305,10.07,5370
547,8.430,7.873,19.29,6500
548,8.618,8.220,6.40,7300
549,9.232,8.524,19.71,5500
550,8.005,7.649,10.14,7030
551,5.775,5.873,5.80,12500
552,9.446,8.411,4.55,4660
553,10.156,9.645,5.48,6950
554,8.664,8.140,8.31,5750
555,9.772,9.130,10.77,5900
556,8.494,7.508,11.75,4800
557,7.534,6.725,5.00,4930
558,5.461,5.497,10.69,10500
559,9.862,9.133,17.27,4550
560,7.389,5.804,5.21,4050
561,7.090,6.762,6.21,7300
562,10.060,8.798,5.90,4250
563,10.107,9.546,5.76,6200
564,8.718,8.166,9.09,6200
565,7.644,7.123,9.18,6500
566,8.944,8.366,12.61,6200
567,9.229,8.416,10.43,5310
568,9.322,8.772,13.01,5370
569,9.942,9.288,11.64,5700
570,9.638,8.989,10.06,5790
571,7.945,6.905,12.55,4500
572,9.854,9.338,9.43,5940
573,5.610,5.153,20.32,6000
574,11.017,10.053,18.40,4250
575,7.875,7.361,12.64,6500
576,8.152,7.721,14.98,6370
577,6.189,5.164,10.18,4660
578,8.848,8.097,5.21,5560
579,9.095,8.560,10.61,6200
580,7.375,7.360,7.28,9790
581,9.272,8.899,6.40,6370
582,9.100,8.623,8.35,6650
583,10.746,9.720,19.90,4700
584,7.767,7.248,18.20,6250
585,9.281,8.883,5.32,7030
586,8.973,8.432,7.11,6200
587,9.477,8.980,9.00,6650
588,12.638,11.147,54.90,3520
589,8.071,7.577,16.09,6370
590,10.053,9.291,13.72,5310
591,10.119,9.413,17.88,4930
592,9.593,8.925,16.46,5560
593,8.126,7.743,4.92,7460
594,8.699,8.378,5.59,7400
595,10.097,9.569,8.52,6500
596,9.185,8.736,10.15,7000
597,8.838,8.425,7.13,7000
598,7.263,7.111,6.44,8600
599,9.340,8.880,6.88,6650
600,9.484,8.869,6.17,6250
601,7.785,6.679,11.57,4390
602,9.203,8.312,45.15,4800
603,7.481,6.245,6.01,4250
604,9.104,8.571,11.03,6370
605,10.038,9.388,6.44,5790
606,9.571,9.093,8.44,6650
607,7.346,7.298,7.44,9790
608,9.348,8.578,22.51,5310
609,9.734,9.069,10.81,5370
610,10.345,9.687,10.64,5100
611,8.690,8.187,12.11,6800
612,10.277,9.553,10.07,5500
613,7.113,6.742,12.97,7000
614,9.866,9.357,8.72,6650
615,9.310,8.350,5.76,4660
616,7.051,6.373,48.90,5700
617,10.671,9.814,22.52,4700
618,8.732,7.480,7.09,4390
619,7.397,7.302,3.77,9380
620,8.454,7.887,21.38,5940
621,9.088,8.550,12.35,6200
622,8.717,8.395,8.42,7460
623,6.491,6.553,4.59,10500
624,8.822,8.350,6.55,6900
625,9.503,8.973,9.89,5370
626,9.692,9.069,6.73,5370
627,8.109,7.116,5.03,4660
628,8.538,8.034,7.11,5750
629,8.612,7.609,3.84,4660
630,9.772,9.291,5.38,5370
631,8.602,8.111,7.65,6370
632,10.590,10.003,11.92,5370
633,9.663,8.487,5.65,4390
634,9.413,8.682,22.70,4930
635,8.440,7.594,9.96,5310
636,9.510,8.881,10.26,5750
637,9.050,8.465,12.43,5370
638,9.347,8.975,5.75,7460
639,9.560,9.008,5.98,6200
640,6.961,6.566,18.67,7030
641,8.795,8.241,9.50,5370
642,9.440,8.715,19.10,5500
643,8.909,7.881,4.73,4660
644,10.559,9.720,16.93,4400
645,7.931,7.425,15.78,6500
646,7.508,7.395,7.96,9500
647,7.093,6.658,6.98,7030
648,9.538,9.144,5.61,6900
649,9.645,9.059,11.72,5790
650,7.986,7.577,9.23,7000
651,8.918,8.293,14.69,5940
652,9.479,8.944,5.57,6650
653,8.020,7.521,10.98,6370
654,9.958,9.406,6.13,5370
655,8.427,7.775,8.77,5700
656,8.272,8.118,6.13,9500
657,9.652,8.994,11.19,5700
658,9.743,9.152,5.30,5750
659,10.454,9.545,20.93,4830
660,9.527,8.824,14.98,5700
661,9.829,9.286,7.61,6200
662,8.666,8.494,5.01,9000
663,8.618,8.123,4.90,6370
664,9.682,9.074,8.65,5940
665,7.947,7.275,35.65,5310
666,8.776,8.317,5.11,6900
667,9.741,9.404,7.86,7300
668,5.392,5.379,4.44,10500
669,8.897,8.456,7.44,6900
670,8.498,8.059,5.46,6900
671,10.890,10.237,9.18,5370
672,9.177,8.814,6.34,7300
673,8.451,7.609,10.53,5310
674,8.571,8.138,8.02,6900
675,8.225,7.576,20.23,5790
676,9.255,8.668,12.86,5940
677,8.807,8.333,9.09,6370
678,9.145,8.602,6.55,6500
679,9.395,8.784,9.73,5900
680,8.413,7.887,15.59,6370
681,10.487,9.762,8.35,5650
682,10.505,9.788,10.92,4930
683,9.420,8.894,11.18,5370
684,6.617,5.768,5.17,5050
685,9.373,8.845,10.57,6200
686,9.536,8.890,8.32,5700
687,8.565,8.111,9.43,6370
688,9.237,8.229,4.36,4660
689,8.621,7.579,5.07,4660
690,9.932,9.423,7.67,6650
691,7.697,7.622,6.07,9500
692,8.734,8.333,12.86,7460
693,10.065,9.204,17.61,4550
694,10.567,10.022,8.01,6200
695,9.043,8.642,9.14,6900
696,9.569,8.892,10.09,5560
697,8.414,7.488,6.19,4550
698,9.939,9.451,5.65,6650
699,9.199,8.413,9.82,5310
700,6.638,6.659,3.32,11100
701,9.262,8.722,10.35,6200
702,10.182,9.673,9.60,6500
703,7.629,6.763,4.44,5050
704,4.135,3.937,42.25,7600
705,8.109,7.110,8.50,5150
706,10.274,9.371,6.67,5150
707,8.269,7.846,11.80,6370
708,9.593,9.055,8.64,6200
709,9.071,8.555,12.00,6900
710,6.605,6.574,3.44,10500
711,8.409,6.980,5.05,4150
712,9.354,8.763,14.76,5700
713,8.597,8.102,11.93,6500
714,9.569,9.098,7.21,6650
715,8.336,7.951,8.77,7460
716,11.963,10.529,61.34,3620
717,9.045,8.593,11.39,7000
718,9.284,8.965,4.88,7350
719,10.321,9.602,17.02,4930
720,9.265,8.661,6.63,5750
721,9.571,8.921,14.47,4930
722,9.803,9.319,6.90,6800
723,7.146,6.645,12.52,6200
724,10.451,9.501,17.94,4800
725,8.170,7.044,7.30,4500
726,6.447,6.527,6.21,10500
727,8.680,7.471,4.82,4250
728,10.137,9.548,9.14,4930
729,9.220,8.670,9.96,6500
730,6.998,5.971,4.78,4660
731,8.069,7.173,4.59,5150
732,8.342,7.881,9.93,6900
733,8.149,7.552,16.37,5750
734,9.913,9.392,7.40,6500
735,8.161,7.723,13.32,7000
736,6.688,6.432,7.57,8610
737,7.048,6.776,8.75,7350
738,9.079,8.701,6.07,7350
739,9.029,8.520,9.97,6250
740,9.760,9.012,21.88,5500
741,10.234,9.723,7.63,6200
742,8.272,8.098,4.67,9380
743,8.253,7.782,10.72,6370
744,9.515,8.946,6.44,5750
745,10.350,9.821,6.82,6500
746,8.654,7.666,3.40,4660
747,8.088,7.676,3.46,6370
748,7.862,6.731,7.28,4500
749,9.512,8.918,12.52,5940
750,8.395,7.802,10.57,5750
751,8.048,7.738,6.05,7350
752,6.489,6.039,27.62,6500
753,9.321,8.635,11.32,5310
754,7.592,7.106,17.50,6650
755,6.979,5.423,7.86,3690
756,10.071,9.520,7.96,6200
757,6.978,6.861,6.67,9380
758,10.739,9.590,26.52,4410
759,8.868,7.782,4.65,4500
760,10.548,9.949,7.76,5190
761,7.355,6.260,8.35,4660
762,8.984,8.501,6.34,6900
763,7.193,6.278,6.98,5050
764,9.461,9.062,6.36,7300
765,8.463,8.078,8.42,7460
766,9.194,8.449,20.47,5500
767,9.515,9.022,5.69,6200
768,9.748,9.060,10.93,5700
769,8.979,8.022,4.46,5150
770,8.413,7.769,17.95,5900
771,10.022,9.414,8.81,5900
772,8.982,8.508,9.06,6650
773,8.626,7.948,16.98,4930
774,10.175,9.340,22.71,5150
775,9.463,8.965,6.38,5370
776,8.329,7.778,9.56,5750
777,10.435,9.734,8.59,4930
778,9.430,8.814,15.25,5900
779,8.081,7.612,13.10,6650
780,8.064,7.000,7.19,4390
781,8.397,7.899,14.28,6370
782,9.718,9.078,5.96,5700
783,7.997,7.451,11.60,5750
784,6.546,6.138,23.85,6900
785,9.795,9.164,8.03,5900
786,9.555,8.920,8.44,4930
787,9.227,8.142,6.00,4500
788,7.824,7.454,14.10,7150
789,9.760,9.279,7.11,6900
790,7.302,5.727,4.01,3690
791,5.550,5.212,17.69,8000
792,6.979,6.515,14.71,6650
793,9.699,8.932,6.71,4930
794,9.925,8.913,6.48,4500
795,9.119,8.500,11.97,5700
796,9.407,9.022,6.53,7000
797,7.270,7.262,4.94,9980
798,10.859,10.302,7.05,5750
799,9.673,8.916,6.17,5560
800,5.307,5.166,18.21,8600
801,6.037,5.665,22.47,7000
802,8.642,8.147,12.23,6650
803,6.513,6.168,7.78,6500
804,7.729,6.604,7.15,4500
805,8.085,7.635,7.86,6370
806,8.833,8.758,4.86,9980
807,8.057,7.541,9.68,6650
808,7.997,7.514,9.23,7030
809,11.567,10.666,14.78,4550
810,6.953,6.820,8.59,9380
811,9.805,9.069,17.39,5500
812,9.708,9.079,13.88,5700
813,8.595,8.109,4.75,5750
814,7.070,6.190,25.23,5150
815,7.086,6.876,6.94,8180
816,10.128,9.569,8.23,5940
817,9.045,8.494,10.92,6200
818,9.496,8.906,9.22,6250
819,8.878,7.731,4.67,4500
820,9.940,9.576,7.34,7000
821,10.086,9.272,16.23,5150
822,7.889,7.372,23.80,5750
