No,B,V,mas,T
2492,9.286,8.614,9.78,5790
2493,8.894,8.052,4.86,4950
2494,10.746,10.104,9.00,5370
2495,9.291,8.746,6.96,6250
2496,8.539,8.201,7.59,7500
2497,9.034,8.505,6.17,6650
2498,6.419,6.017,24.75,7000
2499,9.387,8.883,6.23,5750
2500,9.137,8.708,8.14,6800
2501,10.932,10.178,11.39,4550
2502,9.574,8.770,28.45,5150
2503,6.848,6.850,3.67,11100
2504,7.078,7.010,4.42,10500
2505,9.298,8.630,4.53,5750
2506,7.769,7.172,27.25,5940
2507,8.513,7.926,6.73,5750
2508,9.829,9.321,5.55,6650
2509,7.923,6.866,5.96,4500
2510,9.574,8.809,20.44,5500
2511,8.366,7.797,17.54,5940
2512,9.364,8.907,5.36,6370
2513,8.413,7.850,20.72,5940
2514,8.826,7.818,7.42,4660
2515,8.008,7.823,4.05,8400
2516,9.017,8.435,9.80,5750
2517,9.631,9.031,10.10,5370
2518,10.706,10.171,5.50,5940
2519,6.862,6.425,26.71,6800
2520,10.305,9.366,19.47,4250
2521,7.511,6.382,8.22,4500
2522,7.862,7.155,23.37,5500
2523,6.212,5.942,16.54,7300
2524,8.758,8.267,9.06,6650
2525,9.718,9.196,8.38,6650
2526,7.011,7.056,3.70,10500
2527,8.140,7.934,6.98,8610
2528,9.564,9.069,8.42,6500
2529,9.612,8.840,21.32,4800
2530,10.404,9.880,5.59,6500
2531,8.704,8.321,4.69,7000
2532,8.218,7.718,8.77,6000
2533,8.706,8.269,9.69,6900
2534,9.253,8.645,11.89,5700
2535,9.729,8.645,5.26,4500
2536,7.206,7.131,3.80,9980
2537,10.510,9.920,6.88,5940
2538,9.394,8.243,4.67,4500
2539,7.813,7.394,6.86,7460
2540,4.649,4.093,74.09,6250
2541,7.784,6.847,6.48,4800
2542,7.513,7.171,6.98,7000
2543,8.855,8.414,8.85,6900
2544,9.892,9.380,5.17,5370
2545,9.508,8.942,6.01,5900
2546,9.901,9.282,8.06,5750
2547,8.805,8.190,10.28,5750
2548,9.671,9.213,8.44,6650
2549,5.901,5.539,29.12,7300
2550,7.995,7.563,5.63,7030
2551,8.404,7.899,12.57,6500
2552,8.975,8.126,29.98,4800
2553,8.720,8.230,5.86,6900
2554,9.397,8.710,7.57,5700
2555,10.027,9.480,9.28,5750
2556,7.749,7.072,11.31,5900
2557,8.270,7.815,7.48,6650
2558,8.418,8.126,6.23,9380
2559,6.602,6.581,3.44,10500
2560,9.784,9.293,9.50,6500
2561,8.588,8.258,4.15,7000
2562,8.755,7.269,3.58,4150
2563,8.519,7.657,42.43,4800
2564,10.279,9.543,16.53,5300
2565,7.423,6.764,38.93,5560
2566,9.541,8.975,10.98,6200
2567,7.265,6.787,15.18,6370
2568,8.031,6.451,3.97,3690
2569,7.953,7.317,25.25,5900
2570,8.045,7.943,4.90,9980
2571,8.029,7.583,5.82,6370
2572,4.896,3.584,18.27,4250
2573,8.388,7.848,6.44,6370
2574,8.137,6.959,5.59,4390
2575,9.029,8.413,12.94,4930
2576,8.817,8.177,12.48,5750
2577,6.959,5.540,2.91,5050
2578,9.079,8.156,4.65,4950
2579,6.702,6.710,4.86,12500
2580,7.620,7.263,11.00,7300
2581,10.140,9.510,68.00,5700
2582,9.491,8.630,26.44,5150
2583,8.590,8.147,6.44,6900
2584,6.993,5.933,10.00,4660
2585,7.018,6.665,11.93,7300
2586,6.247,5.272,7.46,4800
2587,6.352,6.383,7.38,9980
2588,10.342,9.663,9.53,5370
2589,8.305,7.973,10.64,7400
2590,7.818,7.339,18.84,6650
2591,9.682,8.918,20.98,5150
2592,8.838,8.460,7.82,7300
2593,7.530,7.092,9.00,6650
2594,6.613,6.689,5.57,10500
2595,5.922,5.572,14.09,7300
2596,8.194,7.869,7.32,7300
2597,10.159,9.336,25.73,5150
2598,9.776,9.225,8.97,6250
2599,9.003,8.088,5.94,5310
2600,8.232,7.921,9.86,7350
2601,9.600,8.904,7.90,5560
2602,9.958,9.274,8.31,5560
2603,9.810,9.218,8.73,5940
2604,7.548,7.078,20.45,6650
2605,7.230,7.218,5.17,9980
2606,7.393,7.287,6.07,9000
2607,9.666,8.895,19.15,5310
