x,y
-0.347,1.970
-0.345,1.959
-0.343,1.948
-0.340,1.938
-0.337,1.927
-0.334,1.917
-0.330,1.907
-0.326,1.897
-0.322,1.887
-0.318,1.878
-0.313,1.868
-0.308,1.859
-0.303,1.850
-0.297,1.841
-0.292,1.833
-0.286,1.824
-0.280,1.816
-0.274,1.808
-0.267,1.801
-0.260,1.793
-0.254,1.786
-0.247,1.779
-0.239,1.772
-0.232,1.765
-0.224,1.759
-0.217,1.753
-0.209,1.747
-0.201,1.741
-0.193,1.736
-0.185,1.730
-0.176,1.726
-0.168,1.721
-0.160,1.716
-0.151,1.712
-0.142,1.708
-0.133,1.704
-0.125,1.701
-0.116,1.698
-0.107,1.695
-0.098,1.692
-0.088,1.689
-0.079,1.687
-0.070,1.685
-0.061,1.683
-0.052,1.682
-0.042,1.681
-0.033,1.680
-0.023,1.679
-0.014,1.678
-0.005,1.678
0.005,1.678
0.014,1.678
0.023,1.679
0.033,1.680
0.042,1.681
0.052,1.682
0.061,1.683
0.070,1.685
0.079,1.687
0.088,1.689
0.098,1.692
0.107,1.695
0.116,1.698
0.125,1.701
0.133,1.704
0.142,1.708
0.151,1.712
0.160,1.716
0.168,1.721
0.176,1.726
0.185,1.730
0.193,1.736
0.201,1.741
0.209,1.747
0.217,1.753
0.224,1.759
0.232,1.765
0.239,1.772
0.247,1.779
0.254,1.786
0.260,1.793
0.267,1.801
0.274,1.808
0.280,1.816
0.286,1.824
0.292,1.833
0.297,1.841
0.303,1.850
0.308,1.859
0.313,1.868
0.318,1.878
0.322,1.887
0.326,1.897
0.330,1.907
0.334,1.917
0.337,1.927
0.340,1.938
0.343,1.948
0.345,1.959
0.347,1.970
