x,y
-1.879,-0.684
-1.824,-0.664
-1.770,-0.646
-1.717,-0.628
-1.666,-0.611
-1.616,-0.596
-1.567,-0.581
-1.519,-0.567
-1.472,-0.553
-1.426,-0.541
-1.381,-0.529
-1.337,-0.518
-1.293,-0.507
-1.251,-0.497
-1.209,-0.487
-1.168,-0.478
-1.127,-0.470
-1.088,-0.461
-1.048,-0.454
-1.010,-0.446
-0.972,-0.439
-0.934,-0.433
-0.898,-0.426
-0.861,-0.421
-0.825,-0.415
-0.790,-0.410
-0.754,-0.405
-0.720,-0.400
-0.685,-0.396
-0.651,-0.391
-0.617,-0.387
-0.584,-0.384
-0.551,-0.380
-0.518,-0.377
-0.485,-0.374
-0.453,-0.371
-0.421,-0.369
-0.389,-0.366
-0.357,-0.364
-0.326,-0.362
-0.294,-0.361
-0.263,-0.359
-0.232,-0.358
-0.200,-0.356
-0.169,-0.355
-0.139,-0.354
-0.108,-0.354
-0.077,-0.353
-0.046,-0.353
-0.015,-0.353
0.015,-0.353
0.046,-0.353
0.077,-0.353
0.108,-0.354
0.139,-0.354
0.169,-0.355
0.200,-0.356
0.232,-0.358
0.263,-0.359
0.294,-0.361
0.326,-0.362
0.357,-0.364
0.389,-0.366
0.421,-0.369
0.453,-0.371
0.485,-0.374
0.518,-0.377
0.551,-0.380
0.584,-0.384
0.617,-0.387
0.651,-0.391
0.685,-0.396
0.720,-0.400
0.754,-0.405
0.790,-0.410
0.825,-0.415
0.861,-0.421
0.898,-0.426
0.934,-0.433
0.972,-0.439
1.010,-0.446
1.048,-0.454
1.088,-0.461
1.127,-0.470
1.168,-0.478
1.209,-0.487
1.251,-0.497
1.293,-0.507
1.337,-0.518
1.381,-0.529
1.426,-0.541
1.472,-0.553
1.519,-0.567
1.567,-0.581
1.616,-0.596
1.666,-0.611
1.717,-0.628
1.770,-0.646
1.824,-0.664
1.879,-0.684
