x,y
-1.532,1.286
-1.495,1.255
-1.458,1.226
-1.422,1.198
-1.385,1.172
-1.350,1.147
-1.314,1.123
-1.279,1.100
-1.244,1.078
-1.209,1.057
-1.175,1.038
-1.141,1.019
-1.107,1.001
-1.074,0.984
-1.041,0.967
-1.008,0.952
-0.975,0.937
-0.943,0.923
-0.911,0.909
-0.880,0.896
-0.848,0.884
-0.817,0.872
-0.786,0.861
-0.756,0.851
-0.725,0.841
-0.695,0.832
-0.665,0.823
-0.635,0.814
-0.606,0.806
-0.576,0.799
-0.547,0.792
-0.518,0.785
-0.489,0.779
-0.461,0.773
-0.432,0.767
-0.403,0.762
-0.375,0.758
-0.347,0.753
-0.319,0.749
-0.291,0.746
-0.263,0.742
-0.235,0.740
-0.207,0.737
-0.179,0.735
-0.152,0.733
-0.124,0.731
-0.096,0.730
-0.069,0.729
-0.041,0.728
-0.014,0.728
0.014,0.728
0.041,0.728
0.069,0.729
0.096,0.730
0.124,0.731
0.152,0.733
0.179,0.735
0.207,0.737
0.235,0.740
0.263,0.742
0.291,0.746
0.319,0.749
0.347,0.753
0.375,0.758
0.403,0.762
0.432,0.767
0.461,0.773
0.489,0.779
0.518,0.785
0.547,0.792
0.576,0.799
0.606,0.806
0.635,0.814
0.665,0.823
0.695,0.832
0.725,0.841
0.756,0.851
0.786,0.861
0.817,0.872
0.848,0.884
0.880,0.896
0.911,0.909
0.943,0.923
0.975,0.937
1.008,0.952
1.041,0.967
1.074,0.984
1.107,1.001
1.141,1.019
1.175,1.038
1.209,1.057
1.244,1.078
1.279,1.100
1.314,1.123
1.350,1.147
1.385,1.172
1.422,1.198
1.458,1.226
1.495,1.255
1.532,1.286
