x,y
-1.970,0.347
-1.909,0.337
-1.850,0.327
-1.793,0.318
-1.737,0.309
-1.683,0.301
-1.630,0.293
-1.579,0.285
-1.528,0.278
-1.479,0.272
-1.431,0.266
-1.385,0.260
-1.339,0.254
-1.294,0.249
-1.250,0.244
-1.206,0.239
-1.164,0.235
-1.122,0.231
-1.081,0.227
-1.041,0.223
-1.001,0.219
-0.962,0.216
-0.924,0.213
-0.886,0.210
-0.849,0.207
-0.812,0.204
-0.775,0.202
-0.739,0.199
-0.704,0.197
-0.669,0.195
-0.634,0.193
-0.599,0.191
-0.565,0.189
-0.532,0.187
-0.498,0.186
-0.465,0.184
-0.432,0.183
-0.399,0.182
-0.366,0.181
-0.334,0.180
-0.301,0.179
-0.269,0.178
-0.237,0.177
-0.205,0.177
-0.174,0.176
-0.142,0.176
-0.110,0.176
-0.079,0.175
-0.047,0.175
-0.016,0.175
0.016,0.175
0.047,0.175
0.079,0.175
0.110,0.176
0.142,0.176
0.174,0.176
0.205,0.177
0.237,0.177
0.269,0.178
0.301,0.179
0.334,0.180
0.366,0.181
0.399,0.182
0.432,0.183
0.465,0.184
0.498,0.186
0.532,0.187
0.565,0.189
0.599,0.191
0.634,0.193
0.669,0.195
0.704,0.197
0.739,0.199
0.775,0.202
0.812,0.204
0.849,0.207
0.886,0.210
0.924,0.213
0.962,0.216
1.001,0.219
1.041,0.223
1.081,0.227
1.122,0.231
1.164,0.235
1.206,0.239
1.250,0.244
1.294,0.249
1.339,0.254
1.385,0.260
1.431,0.266
1.479,0.272
1.528,0.278
1.579,0.285
1.630,0.293
1.683,0.301
1.737,0.309
1.793,0.318
1.850,0.327
1.909,0.337
1.970,0.347
