0.004,0.068
0.016,0.080
0.028,0.097
0.040,0.117
0.052,0.138
0.063,0.164
0.075,0.185
0.086,0.217
0.097,0.244
0.107,0.272
0.117,0.300
0.127,0.328
0.136,0.357
0.143,0.381
0.151,0.405
0.160,0.441
0.168,0.470
0.176,0.501
0.184,0.531
0.193,0.559
0.203,0.587
0.215,0.613
0.226,0.633
0.238,0.648
0.250,0.660
0.262,0.669
0.274,0.672
0.285,0.666
0.297,0.654
0.309,0.635
0.320,0.609
0.330,0.582
0.338,0.553
0.346,0.523
0.353,0.496
0.361,0.468
0.370,0.440
0.380,0.413
0.392,0.384
0.403,0.358
0.415,0.333
0.427,0.311
0.439,0.289
0.450,0.269
0.462,0.250
0.474,0.233
0.486,0.216
0.498,0.201
0.509,0.184
0.521,0.171
0.533,0.152
0.545,0.136
0.557,0.128
0.568,0.116
0.580,0.102
0.592,0.091
0.604,0.080
0.616,0.069
0.627,0.066
0.639,0.056
0.651,0.050
0.663,0.044
0.675,0.040
0.686,0.035
0.698,0.031
0.710,0.028
0.722,0.026
0.733,0.023
0.745,0.021
0.757,0.021
0.769,0.019
0.781,0.018
0.792,0.018
0.804,0.018
0.816,0.018
0.828,0.019
0.840,0.020
0.851,0.020
0.863,0.022
0.875,0.023
0.887,0.026
