B-V,M_V
0.5100,3.5229
0.6200,5.1829
1.2200,0.2929
0.5900,4.0829
0.7600,5.1329
0.4300,3.7629
0.6700,1.4929
0.5700,4.6829
0.6800,5.0029
0.8600,4.7029
0.6000,4.5729
0.6300,4.9329
0.7300,5.6229
0.5600,5.5829
0.8200,5.3029
0.7700,4.9729
0.9100,5.0629
0.8500,5.7629
0.5500,4.8229
0.6200,4.7029
0.7300,5.9729
0.6300,5.9629
0.8000,4.9329
0.7100,5.6429
0.5900,5.2629
0.6200,5.7429
0.6200,5.6729
1.4300,5.0529
0.8400,6.1329
0.6400,7.1429
0.5700,4.2629
0.5900,5.6929
0.5300,3.2329
0.8600,6.1229
0.6800,7.9829
0.7400,2.7629
1.1500,7.6629
0.5500,3.7829
1.0900,7.2329
0.6000,5.9729
1.0000,6.9129
0.7200,4.5229
0.8900,7.1529
0.5900,4.8829
0.9300,6.3329
0.3100,8.1229
0.9800,6.3329
0.8900,6.2329
1.1500,7.1829
1.0100,4.8229
0.9100,6.4329
0.5700,3.8229
0.5600,3.5129
0.6300,4.0329
0.7800,5.4029
0.7900,5.7429
0.7300,5.2029
0.8600,6.5329
0.6100,6.7829
0.5700,4.3129
0.5600,3.9929
1.0900,7.0029
0.5100,3.0829
0.6800,5.3729
0.6600,4.9429
0.6100,4.5029
0.8100,5.8629
0.7000,4.6529
0.7500,5.4929
0.5500,4.0529
0.5600,3.1629
0.7400,7.7129
1.1500,6.8429
0.7400,7.0729
0.5900,4.4129
1.0100,6.8629
0.8300,3.3029
0.8000,7.4729
0.9400,6.5829
0.5700,3.8429
0.5700,3.1329
0.5400,3.0429
0.7800,7.7829
0.7800,5.9929
0.6600,5.0329
0.7800,5.7729
0.9000,6.4529
0.6600,5.0729
0.7100,8.0229
0.7000,6.2329
0.8200,7.3429
0.7800,5.7729
0.5800,3.6829
0.7500,5.5629
0.6800,4.8029
0.6400,3.9929
0.8000,7.5129
1.0600,4.9229
0.7800,5.6929
0.7900,5.4729
1.0000,6.6629
0.5500,3.1629
0.5600,3.9229
0.9900,6.2829
0.5300,5.7029
0.8200,5.8829
0.8200,6.3529
0.5900,2.3529
0.7400,5.4329
0.5600,4.0429
0.7200,5.0529
1.0800,6.6429
0.6100,4.5029
1.0300,6.6229
0.6800,5.0529
0.5700,3.5129
0.6000,4.3929
0.7200,5.3729
0.8800,6.1929
0.5700,3.7729
0.9700,6.7329
0.6400,6.4729
0.9100,3.2629
0.6500,4.9029
0.6700,6.7129
0.6200,4.6429
0.8500,6.1229
0.8400,5.9929
0.5000,4.2729
0.5800,4.1729
1.2200,7.5229
0.9500,6.5729
0.5900,3.8929
0.9300,7.0429
0.5800,3.6229
0.8100,5.5529
0.6200,3.8329
0.7800,6.2129
0.7900,5.0329
0.7000,5.2229
0.8600,6.0729
0.7800,3.1529
1.1600,7.6029
0.7100,5.1929
1.1200,6.7229
0.6800,5.0129
0.7300,3.1129
1.0800,7.1529
0.7400,5.3429
0.6100,3.0429
0.7400,5.1229
0.5900,3.9029
0.6100,7.5729
0.7200,5.3729
0.5900,3.7029
1.0500,7.7329
0.5800,5.9129
0.9600,6.7329
0.8800,6.1829
0.6500,6.9229
0.9300,6.6629
0.8300,4.9629
0.8900,4.6729
1.0800,7.1429
0.7300,5.3929
0.6100,3.0329
1.1800,7.5829
0.7000,6.5729
0.7700,6.4129
0.6500,4.4429
0.5600,3.9729
0.9100,6.0729
0.6100,3.9129
0.5800,4.2429
0.6000,3.2429
0.5800,4.1429
0.9500,6.1429
0.7400,5.4629
0.6700,4.4329
0.5600,3.7129
0.2400,7.4129
0.9800,6.7929
1.1000,7.3629
1.2100,7.6529
0.6600,2.9629
0.7400,6.2729
0.8000,5.7629
0.5900,4.2729
0.7200,5.2929
0.5400,6.0029
0.8700,6.1929
0.6900,5.1529
0.2100,2.1329
0.5900,4.0129
0.8300,5.9129
0.8800,6.1629
0.8100,5.9429
1.3100,7.5329
0.6200,7.1229
0.5800,3.9629
0.9400,2.7729
0.5800,4.1729
0.6900,5.1629
0.5600,3.8129
0.6100,4.6429
0.5600,4.1229
0.7000,4.3929
0.6600,4.9629
1.2000,8.0829
1.1500,7.4329
0.5700,3.7629
0.5700,4.0429
0.5600,3.9029
0.6700,4.9429
0.9200,6.5229
0.9800,6.7329
1.0400,6.9829
1.0400,6.3929
0.9000,7.8629
0.8700,6.1529
0.8700,5.4629
0.6000,4.1629
0.9300,5.8129
-0.0900,0.5629
0.7100,5.2629
0.7700,5.6629
0.7400,5.2729
0.6200,4.5629
0.7600,6.9829
0.5800,4.2929
0.7600,5.5229
1.1300,6.8229
0.5900,3.5929
1.0500,0.8829
0.5700,4.0229
0.7200,7.0929
0.8200,5.9429
0.6600,4.8529
1.0900,7.3129
0.9800,4.0029
0.5600,3.9929
0.6700,2.6029
0.6700,5.0729
0.5500,4.7029
0.7200,7.6629
0.7600,5.6229
0.7400,5.4729
0.5700,3.7729
0.3600,1.5229
0.7900,6.0229
0.7700,5.6229
0.5100,1.9729
1.1300,8.3829
0.5600,3.2029
0.8100,5.7829
0.6100,4.5329
0.5100,4.2829
0.5700,3.1729
0.7300,5.4129
0.5200,3.0429
0.8200,3.3829
0.5700,3.2029
0.5300,4.7329
0.8300,5.8429
0.5800,3.8429
0.6000,3.9529
0.7200,2.7829
0.5800,3.5429
1.1000,6.5929
0.7000,4.5429
1.0500,7.1929
0.5700,3.5529
1.0500,1.5129
1.2300,7.9229
1.0500,0.8529
0.5600,3.4629
