d	x	simple
0.	0.5	0.5
0.01	0.4999749981248437	0.499975
0.02	0.49989996998999653	0.4999
0.03	0.4997748480110039	0.499775
0.04	0.49959951935910274	0.4996
0.05	0.4993738256782412	0.499375
0.06	0.4990975626869618	0.4991
0.07	0.498770479663179	0.498775
0.08	0.49839227880929504	0.4984
0.09	0.49796261449449186	0.497975
0.1	0.49748109237039395	0.4975
0.11	0.49694726835563274	0.496975
0.12	0.49636064748413733	0.4964
0.13	0.4957206826112249	0.495775
0.14	0.4950267729707645	0.4951
0.15	0.4942782625758264	0.494375
0.16	0.4934744384543077	0.4936
0.17	0.4926145287100141	0.492775
0.18	0.49169770039859706	0.4919
0.19	0.4907230572065493	0.490975
0.2	0.4896896369201712	0.49
0.21	0.4885964086699891	0.488975
0.22	0.487442269934544	0.4879
0.23	0.48622604328574137	0.486775
0.24	0.4849464728560443	0.4856
0.25	0.4836022205056778	0.484375
0.26	0.48219186166566663	0.4831
0.27	0.48071388082992006	0.481775
0.28	0.47916666666666663	0.4804
0.29	0.47754850671629756	0.478975
0.3	0.4758575816390409	0.4775
0.31	0.47409195897181866	0.475975
0.32	0.47224958634906367	0.4744
0.33	0.4703282841371276	0.472775
0.34	0.46832573742610817	0.4711
0.35000000000000003	0.4662394873163762	0.469375
0.36	0.4640669214296599	0.4676
0.37	0.4618052635661445	0.465775
0.38	0.4594515624194868	0.4639
0.39	0.4570026792507701	0.461975
0.4	0.4544552744100191	0.45999999999999996
0.41000000000000003	0.45180579257970577	0.457975
0.42	0.4490504465984251	0.4559
0.43	0.4461851997042491	0.453775
0.44	0.44320574601578255	0.4516
0.45	0.44010748904414565	0.44937499999999997
0.46	0.4368855180004284	0.4471
0.47000000000000003	0.433534581629897	0.444775
0.48	0.4300490592655585	0.4424
0.49	0.4264229287485851	0.439975
0.5	0.42264973081037416	0.4375
0.51	0.41872252944917177	0.434975
0.52	0.4146338677614413	0.4324
0.53	0.4103757186023125	0.429775
0.54	0.40593942934780314	0.4271
0.55	0.40131565991075036	0.424375
0.56	0.3964943130184154	0.4216
0.5700000000000001	0.39146445558742493	0.418775
0.58	0.38621422982470466	0.4159
0.59	0.3807307524333655	0.412975
0.6	0.375	0.41000000000000003
0.61	0.3690066782717779	0.406975
0.62	0.3627340725817728	0.4039
0.63	0.35616387612820677	0.400775
0.64	0.34927599213080807	0.3976
0.65	0.342048305040231	0.394375
0.66	0.33445641491874745	0.3911
0.67	0.3264733277819828	0.387775
0.68	0.31806909301252373	0.38439999999999996
0.6900000000000001	0.30921037682009644	0.38097499999999995
0.7000000000000001	0.2998599579859951	0.37749999999999995
0.71	0.2899761285961584	0.373975
0.72	0.2795119778697063	0.3704
0.73	0.26841453115642155	0.366775
0.74	0.2566237081874343	0.3631
0.75	0.2440710539815456	0.359375
0.76	0.2306781813791705	0.3556
0.77	0.21635484446331277	0.351775
0.78	0.20099653487425861	0.3479
0.79	0.18448145485664635	0.343975
0.8	0.16666666666666652	0.33999999999999997
0.81	0.14738313978506823	0.33597499999999997
0.8200000000000001	0.12642930273173458	0.3319
0.8300000000000001	0.10356253504440116	0.327775
0.84	0.07848777403189311	0.3236
0.85	0.05084200424750118	0.319375
0.86	0.02017274791297441	0.31510000000000005
