x	y
0.010	-0.191
-0.007	-0.137
0.000	-0.242
-0.011	-0.184
-0.004	-0.236
0.000	-0.209
0.002	-0.150
0.003	-0.184
0.542	0.693
0.006	-0.142
0.001	-0.304
0.009	-0.340
0.049	-0.365
0.012	-0.188
-0.014	-0.353
0.002	-0.173
0.003	-0.123
-0.010	-0.205
-0.001	-0.174
-0.037	-0.360
0.012	-0.324
-0.011	-0.159
-0.002	-0.231
-0.008	-0.174
0.006	-0.282
0.083	-0.434
0.003	-0.214
-0.030	-0.339
0.000	-0.284
0.002	-0.216
-0.086	-0.466
-0.000	-0.263
0.002	-0.212
0.002	-0.274
0.008	-0.294
0.007	-0.182
0.017	-0.315
0.066	-0.390
0.005	-0.236
-0.008	-0.143
-0.000	-0.268
-0.009	-0.143
0.143	-0.451
-0.003	-0.133
-0.011	-0.197
0.000	-0.134
-0.002	-0.222
-0.049	-0.376
-0.011	-0.165
0.003	-0.127
-0.008	-0.170
-0.006	-0.167
-0.006	-0.240
0.067	-0.385
-0.032	-0.370
0.002	-0.189
-0.316	0.899
0.007	-0.206
0.010	-0.165
0.001	-0.141
0.009	-0.139
-0.028	-0.412
-0.054	-0.431
0.514	0.821
0.008	-0.165
-0.017	-0.310
0.002	-0.247
-0.002	-0.145
0.025	-0.381
-0.070	-0.464
-0.003	-0.226
0.037	-0.351
-0.522	0.835
-0.093	-0.446
0.003	-0.377
-0.505	0.766
0.002	-0.395
0.659	0.715
0.003	-0.236
0.005	-0.225
0.003	-0.290
-0.007	-0.221
-0.088	-0.417
0.022	-0.327
-0.067	0.889
-0.018	-0.314
-0.149	0.881
0.198	-0.495
-0.005	-0.243
0.040	-0.386
-0.001	-0.290
0.003	-0.209
-0.007	-0.217
-0.003	-0.219
-0.661	0.625
0.002	-0.278
0.012	-0.174
0.005	-0.244
-0.007	-0.161
-0.806	0.510
-0.009	-0.156
-0.009	-0.172
0.010	-0.207
-0.575	0.739
-0.006	-0.323
-0.015	-0.326
-0.006	-0.128
0.044	-0.411
0.003	-0.133
0.001	-0.136
0.007	-0.150
-0.078	-0.453
-0.001	-0.252
0.002	-0.257
-0.007	-0.210
0.055	-0.390
-0.009	-0.301
-0.027	-0.362
-0.008	-0.137
0.073	-0.416
-0.155	-0.463
0.001	-0.276
0.001	-0.260
-0.005	-0.238
-0.014	-0.304
0.000	-0.248
0.000	-0.232
0.002	-0.205
-0.012	-0.173
-0.022	-0.327
0.002	-0.285
-0.011	-0.154
0.042	-0.389
0.087	-0.406
0.004	-0.183
0.006	-0.240
-0.003	-0.168
-0.006	-0.240
-0.000	-0.264
0.011	-0.177
0.018	-0.343
0.006	-0.221
-0.010	-0.199
-0.011	-0.311
-0.042	-0.421
0.006	-0.191
0.070	-0.409
0.039	-0.356
0.002	-0.126
-0.012	-0.177
-0.007	-0.190
-0.013	-0.332
0.084	-0.454
-0.010	-0.147
-0.031	-0.344
-0.029	-0.347
-0.022	-0.336
0.057	-0.374
0.003	-0.294
-0.005	-0.283
-0.020	-0.317
0.574	0.801
0.001	-0.256
0.004	-0.286
-0.003	-0.331
0.004	-0.217
-0.710	0.588
0.050	-0.377
0.007	-0.147
-0.001	-0.257
0.001	-0.168
0.011	-0.190
-0.050	-0.367
0.424	0.934
0.378	0.927
-0.014	-0.415
-0.085	1.014
-0.005	-0.173
0.013	-0.406
-0.010	-0.162
