x,y
0.010,-0.146
0.006,-0.165
-0.053,-0.421
-0.002,-0.302
0.009,-0.142
-0.005,-0.352
-0.003,-0.143
-0.012,-0.186
-0.023,-0.389
-0.008,-0.176
-0.004,-0.144
0.075,-0.405
-0.001,-0.125
0.004,-0.162
-0.008,-0.144
-0.003,-0.292
-0.002,-0.194
0.007,-0.289
0.001,-0.221
-0.001,-0.268
-0.004,-0.294
-0.004,-0.157
-0.005,-0.244
0.001,-0.128
-0.007,-0.191
-0.632,0.767
0.008,-0.222
-0.013,-0.301
0.003,-0.274
0.008,-0.144
-0.001,-0.150
0.003,-0.245
0.008,-0.217
0.009,-0.187
-0.038,-0.374
-0.013,-0.304
-0.002,-0.231
-0.005,-0.150
0.152,-0.463
0.004,-0.162
0.002,-0.130
0.001,-0.217
-0.006,-0.284
-0.008,-0.329
-0.005,-0.213
0.004,-0.192
0.012,-0.397
0.007,-0.208
-0.086,-0.406
-0.041,-0.355
0.002,-0.236
-0.001,-0.260
-0.370,0.988
-0.004,-0.195
-0.045,-0.370
0.008,-0.395
0.007,-0.218
0.002,-0.269
0.001,-0.120
0.007,-0.151
0.011,-0.188
0.008,-0.291
-0.001,-0.251
-0.009,-0.294
0.016,-0.375
-0.010,-0.307
0.009,-0.222
-0.013,-0.326
0.029,-0.357
0.144,-0.454
-0.015,-0.318
0.041,-0.369
-0.004,-0.220
0.012,-0.164
-0.006,-0.200
-0.007,-0.135
0.503,0.856
0.056,0.919
0.001,-0.194
-0.009,-0.207
0.002,-0.270
0.003,-0.122
-0.001,-0.267
-0.010,-0.190
-0.001,-0.176
-0.029,-0.332
0.011,-0.160
0.010,-0.175
0.011,-0.183
0.166,-0.467
-0.004,-0.212
-0.012,-0.192
-0.012,-0.175
-0.005,-0.131
-0.005,-0.211
0.011,-0.201
0.009,-0.138
0.005,-0.138
0.011,-0.302
-0.001,-0.259
-0.059,-0.376
-0.168,-0.484
-0.002,-0.254
0.269,0.986
0.010,-0.153
-0.014,1.011
0.001,-0.242
-0.006,-0.239
0.007,-0.232
0.003,-0.228
0.010,-0.184
-0.010,-0.421
0.008,-0.206
0.003,-0.207
-0.001,-0.128
0.002,-0.120
-0.010,-0.158
-0.006,-0.167
0.004,-0.244
0.008,-0.225
0.032,-0.381
-0.001,-0.151
-0.002,-0.123
-0.010,-0.211
0.007,-0.175
-0.005,-0.290
0.001,-0.287
0.008,-0.149
0.000,-0.263
-0.006,-0.328
-0.012,-0.177
-0.001,-0.274
0.001,-0.128
0.081,-0.452
-0.001,-0.336
0.061,-0.443
0.006,-0.289
0.006,-0.219
-0.069,-0.387
0.009,-0.176
-0.001,-0.150
-0.009,-0.143
0.011,-0.156
0.004,-0.280
0.003,-0.240
0.002,-0.246
0.021,-0.335
-0.003,-0.131
0.004,-0.282
-0.067,0.941
-0.004,-0.164
0.011,-0.195
0.011,-0.176
-0.184,0.879
0.001,-0.267
-0.045,-0.374
-0.004,-0.185
-0.007,-0.234
-0.535,0.821
0.001,-0.255
0.007,-0.227
-0.006,-0.283
0.566,0.840
-0.007,-0.169
-0.017,-0.350
0.001,-0.125
0.170,-0.482
0.003,-0.281
0.025,-0.355
-0.009,-0.208
-0.105,1.068
-0.173,-0.486
0.016,-0.310
0.001,-0.228
0.009,-0.152
-0.010,-0.206
0.004,-0.245
-0.005,-0.239
-0.012,-0.192
-0.014,-0.303
0.012,-0.174
0.011,-0.182
-0.011,-0.310
-0.001,-0.202
-0.007,-0.132
-0.003,-0.247
0.002,-0.222
0.006,-0.146
-0.003,-0.277
-0.063,-0.380
-0.011,-0.297
-0.007,-0.330
0.001,-0.252
0.011,-0.153
0.787,0.507
0.754,0.555
-0.033,-0.341
0.073,-0.410
-0.006,-0.150
-0.001,-0.120
-0.513,0.760
-0.012,-0.184
0.002,-0.279
-0.011,-0.181
0.001,-0.126
-0.001,-0.126
0.005,-0.235
-0.002,-0.150
0.006,-0.153
-0.002,-0.215
-0.011,-0.152
-0.000,-0.214
-0.001,-0.189
-0.011,-0.180
-0.022,-0.356
-0.008,-0.222
0.506,0.721
-0.074,-0.475
-0.095,-0.422
0.227,1.076
-0.061,-0.415
-0.027,-0.369
-0.004,-0.246
0.005,-0.126
0.007,-0.141
0.074,-0.393
-0.003,-0.278
-0.003,-0.378
-0.006,-0.186
-0.562,0.725
0.004,-0.279
0.002,-0.249
-0.002,-0.234
-0.001,-0.279
-0.003,-0.251
0.008,-0.159
0.002,-0.301
-0.006,-0.133
0.002,-0.285
-0.042,-0.406
0.004,-0.159
-0.004,-0.244
0.008,-0.295
0.393,0.905
-0.066,-0.399
0.018,-0.376
0.009,-0.187
-0.548,0.762
0.003,-0.292
-0.001,-0.132
-0.038,-0.357
-0.069,-0.387
0.000,-0.262
-0.507,0.836
-0.758,0.536
0.003,-0.140
0.004,-0.234
0.006,-0.343
0.001,-0.271
0.003,-0.167
0.213,-0.502
0.001,-0.320
-0.007,-0.138
0.006,-0.227
-0.007,-0.188
0.099,1.098
0.006,-0.181
0.015,-0.309
-0.006,-0.183
0.001,-0.374
-0.005,-0.159
0.002,-0.127
0.011,-0.160
0.010,-0.201
0.003,-0.123
-0.012,-0.168
-0.025,-0.382
-0.005,-0.242
-0.005,-0.148
0.593,0.661
-0.011,-0.169
-0.051,-0.488
0.169,1.085
0.019,-0.343
-0.001,-0.258
0.015,-0.354
0.007,-0.145
0.005,-0.130
-0.002,-0.234
0.005,-0.241
-0.000,-0.263
-0.000,-0.227
-0.003,-0.275
-0.001,-0.259
0.006,-0.226
-0.005,-0.241
-0.001,-0.249
-0.012,-0.173
-0.002,-0.276
0.005,-0.142
0.015,-0.311
-0.004,-0.193
0.006,-0.199
-0.004,-0.138
-0.689,0.604
-0.009,-0.191
0.009,-0.223
-0.010,-0.169
0.006,-0.205
0.822,0.511
-0.012,-0.341
