x	y	I
-4.	0	0.0011460891413897238
-3.9	0	0.0005602856232712207
-3.8	0	0.0003025544456400512
-3.7	0	0.0006074285056676573
-3.6	0	0.0015274363728882772
-3.5	0	0.002875548662712262
-3.4	0	0.004253874098434005
-3.3	0	0.005174902659167619
-3.2	0	0.005246545702963928
-3.1	0	0.004361222012693528
-3.	0	0.00281469669371003
-2.9	0	0.0012909671966407053
-2.8	0	0.0006863857893086754
-2.7	0	0.0018013783719789725
-2.6	0	0.004985533689801088
-2.5	0	0.009861622277365211
-2.4	0	0.015258677905846028
-2.3	0	0.019444671562549535
-2.2	0	0.02066963684192081
-2.1	0	0.01792839362547899
-2.	0	0.011756675446499795
-1.9	0	0.004816909250069483
-1.8	0	0.002035149711285514
-1.7	0	0.010128658128314262
-1.6	0	0.036503920573467304
-1.5	0	0.08767702291260182
-1.4	0	0.16752798645178285
-1.3	0	0.27580107049221736
-1.2	0	0.40726792898144204
-1.1	0	0.5518657950088494
-1.	0	0.695923035200169
-0.9	0	0.8243313865357885
-0.8	0	0.9232784077693766
-0.7	0	0.9829792937140526
-0.6	0	0.9997950261452272
-0.5	0	0.9772168051771444
-0.4	0	0.9254232762854374
-0.3	0	0.859423524793298
-0.2	0	0.796127326097635
-0.1	0	0.7509380425092229
0	0	0.7345929407263101
0.1	0	0.7509380425092229
0.2	0	0.796127326097635
0.3	0	0.859423524793298
0.4	0	0.9254232762854374
0.5	0	0.9772168051771444
0.6	0	0.9997950261452272
0.7	0	0.9829792937140526
0.8	0	0.9232784077693766
0.9	0	0.8243313865357885
1.	0	0.695923035200169
1.1	0	0.5518657950088494
1.2	0	0.40726792898144204
1.3	0	0.27580107049221736
1.4	0	0.16752798645178285
1.5	0	0.08767702291260182
1.6	0	0.036503920573467304
1.7	0	0.010128658128314262
1.8	0	0.002035149711285514
1.9	0	0.004816909250069483
2.	0	0.011756675446499795
2.1	0	0.01792839362547899
2.2	0	0.02066963684192081
2.3	0	0.019444671562549535
2.4	0	0.015258677905846028
2.5	0	0.009861622277365211
2.6	0	0.004985533689801088
2.7	0	0.0018013783719789725
2.8	0	0.0006863857893086754
2.9	0	0.0012909671966407053
3.	0	0.00281469669371003
3.1	0	0.004361222012693528
3.2	0	0.005246545702963928
3.3	0	0.005174902659167619
3.4	0	0.004253874098434005
3.5	0	0.002875548662712262
3.6	0	0.0015274363728882772
3.7	0	0.0006074285056676573
3.8	0	0.0003025544456400512
3.9	0	0.0005602856232712207
4.	0	0.0011460891413897238
