x,y
0.071,-0.480
0.035,-0.442
0.054,-0.449
0.015,-0.405
-0.075,-0.503
-0.101,-0.513
0.008,-0.395
0.087,-0.556
-0.066,-0.587
-0.046,-0.476
0.030,-0.407
0.016,-0.484
-0.164,-0.611
0.497,-0.600
-0.007,-0.428
-0.060,-0.442
0.029,-0.435
0.105,-0.527
-0.004,-0.389
-0.043,-0.422
0.089,-0.561
-0.047,-0.508
0.005,-0.407
0.035,-0.413
0.118,-0.569
-0.066,-0.466
-0.039,-0.678
0.013,-0.412
-0.003,-0.440
-0.089,-0.483
0.303,-0.589
0.285,-0.590
0.039,-0.419
0.159,-0.655
0.097,-0.562
0.074,-0.519
0.325,-0.634
-0.054,-0.438
0.043,-0.426
0.008,-0.399
0.068,-0.632
-0.017,-0.432
-0.271,-0.572
0.004,-0.429
0.014,-0.397
-0.065,-0.449
-0.057,-0.437
-0.015,-0.393
0.109,-0.533
-0.234,-0.658
-0.012,-0.440
0.220,-0.703
0.084,-0.470
0.110,-0.589
0.018,-0.472
0.086,-0.493
0.036,-0.676
-0.000,-0.428
-0.119,-0.500
-0.012,-0.450
-0.019,-0.399
0.011,-0.564
-0.069,-0.470
-0.019,-0.438
-0.041,-0.424
0.011,-0.470
0.097,-0.566
-0.291,-0.583
-0.131,-0.687
0.036,-0.416
0.126,-0.519
-0.055,-0.447
0.022,-0.410
0.019,-0.511
-0.177,-0.549
-0.057,-0.513
0.128,-0.668
0.024,-0.401
-0.241,-0.706
-0.080,-0.609
-0.191,-0.590
-0.010,-0.491
0.019,-0.402
0.013,-0.391
0.099,-0.516
0.068,-0.460
0.002,-0.448
-0.008,-0.388
-0.012,-0.391
-0.095,-0.477
-0.020,-0.406
-0.289,-0.630
0.165,-0.530
0.016,-0.406
0.083,-0.568
-0.033,-0.521
0.209,-0.700
-0.077,-0.461
-0.043,-0.477
0.123,-0.499
-0.089,-0.474
0.151,-0.554
0.023,-0.435
-0.259,-0.605
0.009,-0.458
0.091,-0.560
-0.100,-0.482
-0.038,-0.420
0.154,-0.602
-0.040,-0.418
-0.015,-0.566
-0.001,-0.408
0.014,-0.398
0.003,-0.389
0.176,-0.540
-0.048,-0.590
0.114,-0.497
-0.027,-0.436
-0.244,-0.566
-0.010,-0.410
0.157,-0.539
0.147,-0.560
-0.023,-0.405
0.135,-0.692
0.004,-0.403
0.025,-0.493
-0.005,-0.424
-0.119,-0.502
0.048,-0.493
-0.029,-0.444
-0.284,-0.578
-0.025,-0.644
-0.055,-0.745
-0.389,-0.611
0.049,-0.463
-0.028,-0.446
0.037,-0.416
0.020,-0.426
-0.013,-0.398
0.052,-0.474
-0.094,-0.524
-0.071,-0.456
0.079,-0.513
-0.000,-0.464
0.103,-0.483
-0.089,-0.680
-0.086,-0.594
0.278,-0.575
0.036,-0.511
0.008,-0.565
0.067,-0.471
-0.038,-0.425
0.016,-0.393
0.148,-0.590
-0.017,-0.394
-0.001,-0.651
0.101,-0.502
0.144,-0.520
0.054,-0.524
-0.041,-0.422
-0.097,-0.541
0.036,-0.444
-0.272,-0.604
-0.006,-0.501
-0.003,-0.387
0.060,-0.441
0.052,-0.442
-0.019,-0.583
-0.026,-0.420
-0.014,-0.417
-0.290,-0.582
-0.086,-0.547
-0.019,-0.415
0.127,-0.527
0.033,-0.410
-0.113,-0.528
-0.122,-0.537
0.019,-0.396
-0.051,-0.431
0.069,-0.462
-0.167,-0.532
-0.047,-0.426
-0.060,-0.440
-0.065,-0.572
0.082,-0.497
0.042,-0.438
0.025,-0.428
-0.008,-0.392
-0.113,-0.524
