m,e01,e03,e05,e07,e09
5.592,-0.14054,-0.51021,-0.98996,-1.5065,-2.0081
5.6235,-0.13553,-0.49662,-0.97673,-1.5064,-2.026
5.6549,-0.13034,-0.48201,-0.96127,-1.5041,-2.0429
5.6863,-0.12498,-0.46637,-0.94342,-1.4993,-2.0587
5.7177,-0.11945,-0.4497,-0.92301,-1.4915,-2.0733
5.7491,-0.11376,-0.43199,-0.89986,-1.4803,-2.0862
5.7805,-0.10792,-0.41325,-0.87378,-1.4651,-2.0971
5.8119,-0.10193,-0.39349,-0.84459,-1.4454,-2.1055
5.8434,-0.0958,-0.37271,-0.81213,-1.4203,-2.1107
5.8748,-0.089536,-0.35094,-0.77622,-1.3892,-2.1119
5.9062,-0.083148,-0.3282,-0.73674,-1.3511,-2.1079
5.9376,-0.076642,-0.30454,-0.69356,-1.3049,-2.0974
5.969,-0.070029,-0.27999,-0.64662,-1.2494,-2.0784
6.0004,-0.063316,-0.2546,-0.59589,-1.1834,-2.0483
6.0319,-0.056512,-0.22842,-0.5414,-1.1057,-2.0037
6.0633,-0.049628,-0.20153,-0.48325,-1.0149,-1.9397
6.0947,-0.042672,-0.174,-0.42164,-0.91003,-1.8492
6.1261,-0.035655,-0.1459,-0.35682,-0.79025,-1.7221
6.1575,-0.028586,-0.11731,-0.28916,-0.65551,-1.5441
6.1889,-0.021476,-0.088335,-0.21909,-0.50659,-1.2958
6.2204,-0.014335,-0.059058,-0.14714,-0.34541,-0.95603
6.2518,-0.0071726,-0.02958,-0.0739,-0.17514,-0.51482
6.2832,0,0,0,-8.8818e-16,-8.8818e-16
