eta,delta
-4.315,-22.76
-13.79,-15.96
-12.29,-5.498
-3.419,5.512
3.163,15.58
1.625,22.39
-4.38,22.72
-5.952,16.43
1.35,6.674
12.28,-4.122
16.61,-14.65
9.194,-22.19
