BV,M
-0.047,-0.226
-0.046,0.904
-0.046,-1.348
-0.046,0.330
-0.045,-0.813
-0.045,0.220
-0.045,0.013
-0.045,0.641
-0.045,-1.979
-0.043,1.933
-0.043,-0.619
-0.043,-0.942
-0.043,1.396
-0.043,1.160
-0.043,0.543
-0.043,0.766
-0.042,-2.962
-0.041,-0.333
-0.041,-0.507
-0.041,-1.880
-0.041,1.542
-0.041,0.433
-0.041,-2.091
-0.040,-0.134
-0.039,1.650
-0.038,-0.047
-0.038,0.858
-0.038,-4.525
-0.038,-1.154
-0.037,1.009
-0.037,0.113
-0.037,-0.862
-0.037,1.309
-0.037,-3.464
-0.036,-0.244
-0.036,-1.043
-0.035,0.666
-0.035,-0.656
-0.035,1.819
-0.034,0.354
-0.034,2.252
-0.034,-1.325
-0.034,-0.433
-0.034,1.097
-0.033,1.196
-0.033,0.478
-0.033,0.567
-0.032,0.770
-0.032,-0.784
-0.032,-4.739
-0.032,0.924
-0.031,-0.567
-0.031,-1.742
-0.031,-0.939
-0.031,-4.002
-0.030,0.178
-0.030,-3.824
-0.029,0.038
-0.029,-0.122
-0.028,1.985
-0.027,0.283
-0.027,-1.099
-0.026,-0.853
-0.026,1.397
-0.026,-3.603
-0.026,0.643
-0.025,-2.048
-0.025,1.034
-0.025,-0.713
-0.024,-4.467
-0.024,-0.623
-0.024,-1.002
-0.024,-0.499
-0.024,0.495
-0.023,0.798
-0.023,-3.707
-0.023,0.359
-0.023,1.130
-0.023,1.515
-0.023,1.300
-0.022,1.747
-0.021,-0.050
-0.021,-0.191
-0.021,-3.475
-0.021,0.197
-0.020,0.921
-0.020,2.108
-0.019,0.082
-0.019,-1.591
-0.019,-5.076
-0.019,-4.559
-0.019,-1.292
-0.018,-3.374
-0.018,-1.156
-0.018,1.222
-0.017,0.596
-0.017,-3.259
-0.016,0.425
-0.016,1.012
-0.016,1.588
-0.016,1.396
-0.016,-0.334
-0.016,-1.848
-0.016,-0.900
-0.015,-4.676
-0.015,-3.109
-0.015,-0.669
-0.015,-3.662
-0.014,0.757
-0.014,2.261
-0.014,-4.340
-0.014,-0.432
-0.014,-3.800
-0.014,0.341
-0.013,2.350
-0.013,0.852
-0.013,-0.813
-0.013,1.710
-0.012,2.056
-0.012,-0.214
-0.012,1.290
-0.012,1.501
-0.011,-1.034
-0.011,1.862
-0.011,-0.094
-0.011,0.940
-0.010,0.141
-0.010,0.660
-0.009,-0.550
-0.009,1.102
-0.008,0.542
-0.007,0.002
-0.007,-0.310
-0.006,-3.480
-0.006,-1.309
-0.006,1.408
-0.006,-0.908
-0.006,-4.668
-0.006,-5.651
-0.005,-1.106
-0.005,-0.702
-0.005,0.269
-0.005,0.803
-0.005,0.413
-0.004,1.637
-0.004,-5.917
-0.004,1.210
-0.004,-0.464
-0.004,-3.586
-0.004,1.928
-0.003,1.732
-0.003,-3.381
-0.003,-3.160
-0.003,0.999
-0.002,1.296
-0.002,-5.544
-0.002,0.719
-0.002,2.159
-0.002,0.900
-0.001,-0.114
-0.001,-4.863
-0.001,-0.980
-0.001,0.069
-0.000,-0.383
0.000,0.627
0.000,-3.670
0.000,-2.379
0.001,-5.089
0.001,1.114
0.001,-0.833
0.001,1.827
0.001,2.854
0.001,0.166
0.001,0.337
0.001,0.483
0.002,-0.249
0.002,1.524
0.002,-4.231
0.002,-5.718
0.003,-4.765
0.003,-4.542
0.003,-0.606
0.003,-0.747
0.003,-2.910
0.004,1.412
0.005,1.686
0.005,2.020
0.005,0.836
0.006,0.257
0.006,-1.254
0.006,1.258
0.006,-0.919
0.007,-1.417
0.007,-0.016
0.007,-5.969
0.007,1.015
0.008,0.711
0.008,-0.172
0.008,1.599
0.009,-3.244
0.009,2.279
0.009,0.110
0.009,-3.992
0.009,0.551
0.010,1.937
0.010,-0.469
0.010,-0.341
0.011,1.469
