x,y,I
-1.3,2.77,0.003
-1.2,2.77,0.003
-1.1,2.77,0.003
-1.,2.77,0.004
-0.9,2.77,0.004
-0.8,2.77,0.004
-0.7,2.77,0.005
-0.6,2.77,0.005
-0.5,2.77,0.005
-0.4,2.77,0.006
-0.3,2.77,0.006
-0.2,2.77,0.006
-0.1,2.77,0.006
0,2.77,0.006
0.1,2.77,0.006
0.2,2.77,0.006
0.3,2.77,0.006
0.4,2.77,0.006
0.5,2.77,0.005
0.6,2.77,0.005
0.7,2.77,0.005
0.8,2.77,0.004
0.9,2.77,0.004
1.,2.77,0.004
1.1,2.77,0.003
1.2,2.77,0.003
1.3,2.77,0.003
1.4,2.77,0.003
1.5,2.77,0.003
1.6,2.77,0.003
1.7,2.77,0.003
1.8,2.77,0.003
1.9,2.77,0.002
2.,2.77,0.002
2.1,2.77,0.001
2.2,2.77,0.
2.3,2.77,0.
2.4,2.77,0.
2.5,2.77,0.
2.6,2.77,0.
2.7,2.77,0.
2.8,2.77,0.001
2.9,2.77,0.002
3.,2.77,0.002
3.1,2.77,0.002
3.2,2.77,0.002
3.3,2.77,0.002
3.4,2.77,0.001
3.5,2.77,0.
3.6,2.77,0.
3.7,2.77,0.
3.8,2.77,0.
3.9,2.77,0.
4.,2.77,0.

-4.,2.7,0.
-3.9,2.7,0.
-3.8,2.7,0.
-3.7,2.7,0.
-3.6,2.7,0.
-3.5,2.7,0.001
-3.4,2.7,0.002
-3.3,2.7,0.002
-3.2,2.7,0.002
-3.1,2.7,0.002
-3.,2.7,0.002
-2.9,2.7,0.002
-2.8,2.7,0.001
-2.7,2.7,0.
-2.6,2.7,0.
-2.5,2.7,0.
-2.4,2.7,0.
-2.3,2.7,0.
-2.2,2.7,0.001
-2.1,2.7,0.002
-2.,2.7,0.003
-1.9,2.7,0.003
-1.8,2.7,0.003
-1.7,2.7,0.004
-1.6,2.7,0.004
-1.5,2.7,0.004
-1.4,2.7,0.004
-1.3,2.7,0.004
-1.2,2.7,0.004
-1.1,2.7,0.004
-1.,2.7,0.004
-0.9,2.7,0.005
-0.8,2.7,0.005
-0.7,2.7,0.006
-0.6,2.7,0.006
-0.5,2.7,0.006
-0.4,2.7,0.007
-0.3,2.7,0.007
-0.2,2.7,0.007
-0.1,2.7,0.008
0,2.7,0.008
0.1,2.7,0.008
0.2,2.7,0.007
0.3,2.7,0.007
0.4,2.7,0.007
0.5,2.7,0.006
0.6,2.7,0.006
0.7,2.7,0.006
0.8,2.7,0.005
0.9,2.7,0.005
1.,2.7,0.004
1.1,2.7,0.004
1.2,2.7,0.004
1.3,2.7,0.004
1.4,2.7,0.004
1.5,2.7,0.004
1.6,2.7,0.004
1.7,2.7,0.004
1.8,2.7,0.003
1.9,2.7,0.003
2.,2.7,0.003
2.1,2.7,0.002
2.2,2.7,0.001
2.3,2.7,0.
2.4,2.7,0.
2.5,2.7,0.
2.6,2.7,0.
2.7,2.7,0.
2.8,2.7,0.001
2.9,2.7,0.002
3.,2.7,0.002
3.1,2.7,0.002
3.2,2.7,0.002
3.3,2.7,0.002
3.4,2.7,0.002
3.5,2.7,0.001
3.6,2.7,0.
3.7,2.7,0.
3.8,2.7,0.
3.9,2.7,0.
4.,2.7,0.

-4.,2.62,0.
-3.9,2.62,0.
-3.8,2.62,0.
-3.7,2.62,0.
-3.6,2.62,0.001
-3.5,2.62,0.002
-3.4,2.62,0.002
-3.3,2.62,0.002
-3.2,2.62,0.002
-3.1,2.62,0.002
-3.,2.62,0.002
-2.9,2.62,0.001
-2.8,2.62,0.
-2.7,2.62,0.
-2.6,2.62,0.
-2.5,2.62,0.
-2.4,2.62,0.
-2.3,2.62,0.001
-2.2,2.62,0.002
-2.1,2.62,0.003
-2.,2.62,0.003
-1.9,2.62,0.004
-1.8,2.62,0.004
-1.7,2.62,0.004
-1.6,2.62,0.004
-1.5,2.62,0.004
-1.4,2.62,0.004
-1.3,2.62,0.004
-1.2,2.62,0.004
-1.1,2.62,0.004
-1.,2.62,0.005
-0.9,2.62,0.005
-0.8,2.62,0.006
-0.7,2.62,0.006
-0.6,2.62,0.007
-0.5,2.62,0.007
-0.4,2.62,0.008
-0.3,2.62,0.008
-0.2,2.62,0.008
-0.1,2.62,0.008
0,2.62,0.008
0.1,2.62,0.008
0.2,2.62,0.008
0.3,2.62,0.008
0.4,2.62,0.008
0.5,2.62,0.007
0.6,2.62,0.007
0.7,2.62,0.006
0.8,2.62,0.006
0.9,2.62,0.005
1.,2.62,0.005
1.1,2.62,0.004
1.2,2.62,0.004
1.3,2.62,0.004
1.4,2.62,0.004
1.5,2.62,0.004
1.6,2.62,0.004
1.7,2.62,0.004
1.8,2.62,0.004
1.9,2.62,0.004
2.,2.62,0.003
2.1,2.62,0.003
2.2,2.62,0.002
2.3,2.62,0.001
2.4,2.62,0.
2.5,2.62,0.
2.6,2.62,0.
2.7,2.62,0.
2.8,2.62,0.
2.9,2.62,0.001
3.,2.62,0.002
3.1,2.62,0.002
3.2,2.62,0.002
3.3,2.62,0.002
3.4,2.62,0.002
3.5,2.62,0.002
3.6,2.62,0.001
3.7,2.62,0.
3.8,2.62,0.
3.9,2.62,0.
4.,2.62,0.

-4.,2.55,0.
-3.9,2.55,0.
-3.8,2.55,0.
-3.7,2.55,0.
-3.6,2.55,0.001
-3.5,2.55,0.002
-3.4,2.55,0.002
-3.3,2.55,0.002
-3.2,2.55,0.002
-3.1,2.55,0.002
-3.,2.55,0.001
-2.9,2.55,0.
-2.8,2.55,0.
-2.7,2.55,0.
-2.6,2.55,0.
-2.5,2.55,0.
-2.4,2.55,0.001
-2.3,2.55,0.002
-2.2,2.55,0.003
-2.1,2.55,0.004
-2.,2.55,0.004
-1.9,2.55,0.004
-1.8,2.55,0.005
-1.7,2.55,0.005
-1.6,2.55,0.004
-1.5,2.55,0.004
-1.4,2.55,0.004
-1.3,2.55,0.004
-1.2,2.55,0.004
-1.1,2.55,0.005
-1.,2.55,0.005
-0.9,2.55,0.005
-0.8,2.55,0.006
-0.7,2.55,0.006
-0.6,2.55,0.007
-0.5,2.55,0.007
-0.4,2.55,0.008
