x,y
-1.286,1.532
-1.259,1.501
-1.233,1.472
-1.206,1.444
-1.179,1.417
-1.152,1.391
-1.125,1.366
-1.098,1.342
-1.071,1.319
-1.044,1.297
-1.017,1.276
-0.990,1.256
-0.963,1.237
-0.936,1.218
-0.910,1.200
-0.883,1.183
-0.856,1.167
-0.829,1.152
-0.803,1.137
-0.776,1.123
-0.750,1.109
-0.723,1.096
-0.697,1.084
-0.671,1.072
-0.645,1.061
-0.618,1.051
-0.593,1.041
-0.567,1.031
-0.541,1.022
-0.515,1.014
-0.489,1.006
-0.464,0.998
-0.438,0.991
-0.413,0.984
-0.388,0.978
-0.362,0.972
-0.337,0.967
-0.312,0.962
-0.287,0.957
-0.262,0.953
-0.237,0.949
-0.212,0.946
-0.187,0.943
-0.162,0.940
-0.137,0.938
-0.112,0.936
-0.087,0.935
-0.062,0.934
-0.037,0.933
-0.012,0.933
0.012,0.933
0.037,0.933
0.062,0.934
0.087,0.935
0.112,0.936
0.137,0.938
0.162,0.940
0.187,0.943
0.212,0.946
0.237,0.949
0.262,0.953
0.287,0.957
0.312,0.962
0.337,0.967
0.362,0.972
0.388,0.978
0.413,0.984
0.438,0.991
0.464,0.998
0.489,1.006
0.515,1.014
0.541,1.022
0.567,1.031
0.593,1.041
0.618,1.051
0.645,1.061
0.671,1.072
0.697,1.084
0.723,1.096
0.750,1.109
0.776,1.123
0.803,1.137
0.829,1.152
0.856,1.167
0.883,1.183
0.910,1.200
0.936,1.218
0.963,1.237
0.990,1.256
1.017,1.276
1.044,1.297
1.071,1.319
1.098,1.342
1.125,1.366
1.152,1.391
1.179,1.417
1.206,1.444
1.233,1.472
1.259,1.501
1.286,1.532
