B-V,M_V
0.4670,4.6450
0.4640,4.6500
0.4470,4.6510
0.4490,4.6560
0.4490,4.6590
0.4410,4.6600
0.4860,4.6700
0.4410,4.6700
0.4480,4.6740
0.4980,4.6770
0.4660,4.6770
1.6160,4.6780
0.4410,4.6870
0.4660,4.6890
0.4530,4.6910
0.4510,4.6950
0.4550,4.7020
0.4960,4.7080
0.4580,4.7110
0.4720,4.7110
0.8630,4.7150
0.4580,4.7190
0.4550,4.7220
0.4530,4.7240
0.4830,4.7250
0.5020,4.7300
0.4470,4.7310
0.4500,4.7320
0.4630,4.7320
0.4690,4.7400
0.4840,4.7410
0.4420,4.7420
0.4320,4.7430
0.4760,4.7510
0.4760,4.7530
0.4560,4.7540
0.4460,4.7540
0.4640,4.7610
0.5170,4.7620
0.4650,4.7620
0.4740,4.7670
0.5240,4.7690
0.4640,4.7710
0.4580,4.7720
0.4600,4.7830
0.4560,4.7850
0.4550,4.7880
0.4780,4.8070
0.4600,4.8090
0.4770,4.8090
0.4660,4.8110
0.4840,4.8120
1.4720,4.8130
0.4890,4.8160
0.4550,4.8160
0.4500,4.8230
0.4790,4.8250
0.4840,4.8320
0.4640,4.8350
0.4550,4.8360
0.4740,4.8410
0.4720,4.8440
0.4810,4.8480
0.4420,4.8490
0.4920,4.8520
0.4750,4.8530
0.4590,4.8550
0.5890,4.8580
0.4760,4.8590
1.3930,4.8590
0.4490,4.8590
0.4570,4.8600
0.4680,4.8620
0.4580,4.8650
0.4320,4.8670
0.4410,4.8700
0.4900,4.8770
0.4580,4.8790
0.4680,4.8810
0.4610,4.8860
0.4980,4.8890
0.4510,4.8940
0.4670,4.8940
0.4380,4.9040
0.4590,4.9060
0.4770,4.9060
0.4640,4.9080
0.4730,4.9160
0.4610,4.9180
0.4760,4.9210
0.4730,4.9260
0.4890,4.9260
0.4820,4.9270
0.4630,4.9280
0.4810,4.9300
0.4670,4.9310
1.6650,4.9310
0.4590,4.9380
0.4760,4.9430
0.4720,4.9440
0.4850,4.9450
1.1650,4.9470
0.4730,4.9560
0.4580,4.9560
0.4740,4.9640
0.4670,4.9660
0.4870,4.9660
0.4810,4.9670
0.4900,4.9710
0.5010,4.9750
0.4760,4.9770
0.4740,4.9790
0.4890,4.9840
0.4730,4.9890
0.4790,4.9910
0.4790,4.9920
1.4150,4.9920
0.4840,4.9930
0.4570,5.0040
0.4890,5.0070
0.4760,5.0090
0.4900,5.0100
0.4810,5.0130
0.4930,5.0130
1.4330,5.0140
0.3810,5.0180
0.4940,5.0200
0.4690,5.0210
1.1800,5.0230
0.4770,5.0300
0.4770,5.0340
0.4830,5.0350
0.4780,5.0370
0.5030,5.0370
0.4980,5.0390
0.4660,5.0440
0.4820,5.0520
0.4430,5.0560
0.4790,5.0590
0.4980,5.0590
