r,v,D
2.6,2.6,0.28
2.8,2.6,0.261
3.,2.6,0.244
3.2,2.6,0.23
3.4,2.6,0.217
3.6,2.6,0.205
3.8,2.6,0.195
4.,2.6,0.185
4.2,2.6,0.177
4.4,2.6,0.169
4.6,2.6,0.162
4.8,2.6,0.155
5.,2.6,0.149

1.,2.8,0.633
1.2,2.8,0.538
1.4,2.8,0.468
1.6,2.8,0.413
1.8,2.8,0.371
2.,2.8,0.336
2.2,2.8,0.307
2.4,2.8,0.283
2.6,2.8,0.262
2.8,2.8,0.244
3.,2.8,0.228
3.2,2.8,0.215
3.4,2.8,0.202
3.6,2.8,0.192
3.8,2.8,0.182
4.,2.8,0.173
4.2,2.8,0.165
4.4,2.8,0.158
4.6,2.8,0.151
4.8,2.8,0.145
5.,2.8,0.139

1.,3.,0.6
1.2,3.,0.508
1.4,3.,0.441
1.6,3.,0.39
1.8,3.,0.349
2.,3.,0.316
2.2,3.,0.288
2.4,3.,0.265
2.6,3.,0.246
2.8,3.,0.229
3.,3.,0.214
3.2,3.,0.201
3.4,3.,0.19
3.6,3.,0.18
3.8,3.,0.17
4.,3.,0.162
4.2,3.,0.155
4.4,3.,0.148
4.6,3.,0.142
4.8,3.,0.136
5.,3.,0.13

1.,3.2,0.569
1.2,3.2,0.482
1.4,3.2,0.417
1.6,3.2,0.368
1.8,3.2,0.329
2.,3.2,0.298
2.2,3.2,0.272
2.4,3.2,0.25
2.6,3.2,0.232
2.8,3.2,0.216
3.,3.2,0.202
3.2,3.2,0.19
3.4,3.2,0.179
3.6,3.2,0.169
3.8,3.2,0.16
4.,3.2,0.153
4.2,3.2,0.145
4.4,3.2,0.139
4.6,3.2,0.133
4.8,3.2,0.128
5.,3.2,0.123

1.,3.4,0.541
1.2,3.4,0.457
1.4,3.4,0.396
1.6,3.4,0.349
1.8,3.4,0.312
2.,3.4,0.282
2.2,3.4,0.257
2.4,3.4,0.237
2.6,3.4,0.219
2.8,3.4,0.204
3.,3.4,0.191
3.2,3.4,0.179
3.4,3.4,0.169
3.6,3.4,0.16
3.8,3.4,0.151
4.,3.4,0.144
4.2,3.4,0.137
4.4,3.4,0.131
4.6,3.4,0.126
4.8,3.4,0.12
5.,3.4,0.116

1.,3.6,0.516
1.2,3.6,0.435
1.4,3.6,0.376
1.6,3.6,0.331
1.8,3.6,0.296
2.,3.6,0.267
2.2,3.6,0.244
2.4,3.6,0.224
2.6,3.6,0.208
2.8,3.6,0.193
3.,3.6,0.181
3.2,3.6,0.17
3.4,3.6,0.16
3.6,3.6,0.151
3.8,3.6,0.143
4.,3.6,0.136
4.2,3.6,0.13
4.4,3.6,0.124
4.6,3.6,0.119
4.8,3.6,0.114
5.,3.6,0.109

1.,3.8,0.492
1.2,3.8,0.415
1.4,3.8,0.358
1.6,3.8,0.315
1.8,3.8,0.282
2.,3.8,0.254
2.2,3.8,0.232
2.4,3.8,0.213
2.6,3.8,0.197
2.8,3.8,0.183
3.,3.8,0.171
3.2,3.8,0.161
3.4,3.8,0.152
3.6,3.8,0.143
3.8,3.8,0.136
4.,3.8,0.129
4.2,3.8,0.123
4.4,3.8,0.118
4.6,3.8,0.113
4.8,3.8,0.108
5.,3.8,0.104

1.,4.,0.471
1.2,4.,0.396
1.4,4.,0.342
1.6,4.,0.301
1.8,4.,0.268
2.,4.,0.242
2.2,4.,0.221
2.4,4.,0.203
2.6,4.,0.188
2.8,4.,0.175
3.,4.,0.163
3.2,4.,0.153
3.4,4.,0.144
3.6,4.,0.137
3.8,4.,0.129
4.,4.,0.123
4.2,4.,0.117
4.4,4.,0.112
4.6,4.,0.107
4.8,4.,0.103
5.,4.,0.0988

