x	y
-0.305	-0.656
-0.036	-0.422
-0.025	-0.608
-0.129	-0.518
-0.041	-0.757
0.132	-0.577
-0.186	-0.719
-0.040	-0.495
0.085	-0.586
-0.376	-0.622
-0.001	-0.414
0.020	-0.484
-0.017	-0.396
0.014	-0.392
0.015	-0.402
0.022	-0.428
0.074	-0.775
0.038	-0.440
0.035	-0.424
-0.056	-0.460
-0.172	-0.586
-0.066	-0.457
0.071	-0.452
0.027	-0.688
0.143	-0.554
0.052	-0.542
0.047	-0.537
-0.119	-0.498
-0.053	-0.436
-0.014	-0.487
-0.055	-0.492
0.026	-0.438
-0.223	-0.566
0.014	-0.400
0.198	-0.579
-0.082	-0.658
0.074	-0.456
0.007	-0.408
-0.059	-0.447
0.066	-0.505
0.031	-0.522
0.048	-0.428
0.026	-0.411
0.001	-0.393
-0.135	-0.732
0.015	-0.399
0.137	-0.516
0.031	-0.438
-0.093	-0.725
-0.071	-0.558
0.022	-0.416
0.070	-0.452
-0.004	-0.391
0.171	-0.539
0.010	-0.423
-0.123	-0.503
-0.078	-0.460
0.008	-0.389
0.124	-0.500
-0.012	-0.391
-0.117	-0.657
-0.014	-0.479
-0.016	-0.417
0.014	-0.394
-0.124	-0.564
0.027	-0.744
0.205	-0.622
-0.084	-0.494
-0.036	-0.418
-0.056	-0.638
0.027	-0.550
-0.005	-0.708
-0.131	-0.505
0.002	-0.484
0.120	-0.550
0.030	-0.420
-0.032	-0.410
0.073	-0.534
0.083	-0.475
-0.070	-0.451
0.074	-0.459
-0.062	-0.478
0.012	-0.647
0.323	-0.591
0.033	-0.415
-0.123	-0.538
0.223	-0.564
0.026	-0.566
0.246	-0.564
0.024	-0.437
0.411	-0.606
-0.022	-0.543
-0.256	-0.569
-0.059	-0.605
0.036	-0.637
0.026	-0.408
0.027	-0.442
-0.142	-0.560
-0.025	-0.711
0.038	-0.444
0.033	-0.410
-0.028	-0.411
-0.018	-0.397
0.073	-0.462
-0.141	-0.529
0.200	-0.613
0.027	-0.407
0.003	-0.387
0.024	-0.405
-0.013	-0.463
0.097	-0.650
0.018	-0.417
-0.017	-0.406
-0.068	-0.580
0.010	-0.398
0.101	-0.624
-0.019	-0.440
-0.012	-0.391
-0.042	-0.491
0.198	-0.626
-0.049	-0.539
0.009	-0.389
-0.065	-0.447
0.002	-0.387
0.062	-0.480
-0.418	-0.604
-0.338	-0.605
0.051	-0.458
0.019	-0.574
-0.037	-0.549
0.027	-0.422
-0.012	-0.399
-0.095	-0.770
0.028	-0.407
0.006	-0.402
0.113	-0.664
0.005	-0.398
-0.027	-0.418
0.052	-0.722
-0.041	-0.590
0.022	-0.446
0.007	-0.417
0.084	-0.579
0.048	-0.483
-0.107	-0.630
0.050	-0.544
0.073	-0.478
0.037	-0.537
0.167	-0.539
0.057	-0.508
0.041	-0.427
0.094	-0.574
0.024	-0.401
-0.017	-0.483
0.029	-0.423
0.084	-0.466
0.020	-0.438
-0.149	-0.517
0.055	-0.437
0.034	-0.427
-0.132	-0.506
-0.088	-0.469
-0.001	-0.402
-0.018	-0.412
0.074	-0.502
0.071	-0.543
0.215	-0.647
-0.140	-0.615
0.081	-0.482
-0.002	-0.527
0.122	-0.542
0.150	-0.578
-0.090	-0.477
-0.013	-0.511
0.023	-0.402
-0.018	-0.464
0.158	-0.534
-0.019	-0.403
0.041	-0.419
-0.116	-0.523
0.033	-0.450
-0.027	-0.410
-0.097	-0.478
0.006	-0.501
-0.007	-0.397
0.262	-0.699
-0.006	-0.682
-0.196	-0.647
-0.033	-0.442
-0.018	-0.460
0.397	-0.642
-0.005	-0.402
-0.000	-0.403
-0.039	-0.471
0.004	-0.427
-0.099	-0.480
-0.077	-0.465
-0.145	-0.520
0.169	-0.577
0.038	-0.454
-0.003	-0.389
-0.022	-0.455
0.038	-0.416
0.005	-0.725
0.027	-0.407
0.023	-0.481
0.117	-0.500
-0.126	-0.521
-0.015	-0.410
-0.211	-0.706
0.058	-0.443
0.058	-0.601
0.403	-0.592
-0.317	-0.587
-0.064	-0.457
-0.257	-0.604
0.128	-0.532
-0.040	-0.419
-0.026	-0.460
-0.011	-0.398
0.030	-0.407
0.008	-0.394
-0.210	-0.552
-0.235	-0.612
-0.062	-0.447
0.006	-0.420
-0.041	-0.422
-0.224	-0.631
-0.123	-0.517
-0.026	-0.436
-0.043	-0.430
0.049	-0.525
-0.121	-0.513
0.013	-0.426
-0.154	-0.558
-0.036	-0.417
0.040	-0.441
0.017	-0.395
0.132	-0.528
-0.351	-0.642
0.127	-0.629
0.004	-0.389
0.018	-0.434
-0.050	-0.471
-0.119	-0.496
0.127	-0.614
-0.114	-0.589
0.114	-0.519
0.004	-0.555
-0.282	-0.595
-0.127	-0.584
-0.055	-0.632
0.059	-0.462
0.062	-0.445
-0.090	-0.528
-0.004	-0.409
0.002	-0.497
-0.050	-0.437
-0.031	-0.410
0.039	-0.462
-0.049	-0.480
0.019	-0.527
-0.076	-0.514
0.189	-0.624
0.011	-0.412
0.060	-0.518
0.026	-0.421
-0.078	-0.463
-0.053	-0.440
0.120	-0.511
-0.310	-0.612
-0.239	-0.570
0.012	-0.393
-0.026	-0.427
-0.102	-0.489
0.001	-0.389
-0.021	-0.400
-0.011	-0.473
0.058	-0.438
0.139	-0.620
-0.063	-0.478
-0.007	-0.495
0.060	-0.499
0.284	-0.577
0.040	-0.450
-0.194	-0.542
0.021	-0.447
-0.046	-0.546
0.026	-0.438
0.085	-0.502
-0.064	-0.451
0.169	-0.546
0.006	-0.410
-0.069	-0.490
-0.008	-0.533
-0.011	-0.432
-0.015	-0.401
0.030	-0.413
-0.102	-0.526
-0.094	-0.529
0.079	-0.534
-0.039	-0.464
0.215	-0.553
-0.065	-0.462
-0.037	-0.423
0.103	-0.596
0.055	-0.518
0.010	-0.424
-0.009	-0.392
-0.034	-0.670
0.016	-0.396
0.010	-0.390
0.140	-0.519
-0.054	-0.483
0.046	-0.460
0.070	-0.453
-0.006	-0.392
0.204	-0.650
-0.268	-0.598
0.028	-0.423
-0.099	-0.515
-0.008	-0.392
0.161	-0.606
0.076	-0.459
0.018	-0.424
-0.097	-0.484
0.128	-0.504
0.010	-0.391
0.185	-0.546
0.016	-0.411
-0.080	-0.482
-0.107	-0.494
0.033	-0.465
