d,x,simple
0.59033,1.0057,1.2159
0.593,0.99284,1.2088
0.59567,0.97976,1.2017
0.59833,0.96644,1.1945
0.601,0.95286,1.1873
0.60367,0.93902,1.1801
0.60633,0.92489,1.1728
0.609,0.91047,1.1655
0.61167,0.89572,1.1582
0.61433,0.88064,1.1508
0.617,0.86519,1.1434
0.61967,0.84936,1.136
0.62233,0.8331,1.1286
0.625,0.81638,1.1211
0.62767,0.79917,1.1136
0.63033,0.7814,1.106
0.633,0.76303,1.0984
0.63567,0.74398,1.0908
0.63833,0.72416,1.0832
0.641,0.70347,1.0755
0.64367,0.68177,1.0678
0.64633,0.65887,1.0601
0.649,0.63453,1.0523
0.65167,0.60839,1.0445
0.65433,0.57994,1.0367
0.657,0.5483,1.0288
0.65967,0.51186,1.0209
0.66233,0.46683,1.013
0.665,0.39637,1.005
