_RAJ2000;_DEJ2000;Vmag;B-V
250.2804825;+36.5330408;18.317; 0.439
250.3624089;+36.4874853;18.318; 0.440
250.1991933;+36.4246783;18.333; 0.444
250.3770358;+36.4490383;18.338; 0.792
250.2200789;+36.5312097;18.340; 0.441
250.2624300;+36.4612139;18.350; 0.431
250.3571750;+36.4835172;18.351; 0.455
250.3433894;+36.5246764;18.398; 0.437
250.3187303;+36.5458356;18.399; 0.417
250.3436831;+36.4830033;18.408; 0.447
250.2688250;+36.5171431;18.408; 0.426
250.2529286;+36.4598392;18.419; 1.563
250.2765500;+36.5457714;18.420; 0.415
250.2990292;+36.3935292;18.421; 0.435
250.3056042;+36.4983833;18.431; 0.441
250.2827681;+36.5165197;18.441; 0.427
250.3431369;+36.4747469;18.448; 0.437
250.3282400;+36.5440639;18.450; 0.427
250.3103767;+36.5173708;18.451; 0.432
250.3198911;+36.4962281;18.464; 0.424
250.2392492;+36.4286664;18.477; 0.434
250.3443050;+36.4672969;18.485; 0.427
250.3764197;+36.5067253;18.491; 0.420
250.2568011;+36.4157742;18.501; 0.433
250.3516483;+36.5285594;18.502; 0.427
250.3483058;+36.4903031;18.505; 0.439
250.3724650;+36.4892131;18.506; 0.464
250.1884978;+36.4668864;18.509; 1.047
250.3353425;+36.5079117;18.512; 0.450
250.3475308;+36.4957111;18.520; 0.438
250.3319597;+36.5226469;18.529; 0.427
250.3670894;+36.5355764;18.533; 0.433
250.3764389;+36.4769717;18.539; 0.408
250.3672714;+36.4691336;18.542; 0.429
250.2399353;+36.4195892;18.545; 0.444
250.3358689;+36.4774828;18.545; 0.437
250.3108281;+36.5129986;18.553; 0.408
250.3667972;+36.4933942;18.554; 0.440
250.3073417;+36.5027131;18.560; 0.439
250.3093936;+36.5091686;18.561; 0.439
250.3276781;+36.4891536;18.562; 0.427
250.3561142;+36.5346183;18.585; 0.423
250.3691244;+36.5411672;18.588; 0.453
250.2928092;+36.4288397;18.598; 0.423
250.3541264;+36.5298603;18.598; 0.432
250.2807425;+36.4480453;18.600; 0.427
250.2587650;+36.5385767;18.601; 0.434
250.3758442;+36.5184650;18.601; 0.434
250.3354614;+36.5241647;18.606; 0.442
250.3652936;+36.4697975;18.608; 0.431
250.3284606;+36.5218603;18.619; 0.433
250.2605000;+36.5359881;18.627; 0.431
250.3749942;+36.5378383;18.631; 0.409
250.3758650;+36.5065406;18.654; 0.432
250.3364311;+36.4977439;18.665; 0.439
250.3751975;+36.5370592;18.676; 0.431
250.3547769;+36.4993939;18.677; 0.438
250.2980361;+36.4765581;18.681; 0.427
250.2845542;+36.5421600;18.682; 0.433
250.3735781;+36.5438603;18.683; 0.422
250.2501578;+36.4794056;18.685; 0.928
250.2120947;+36.3926978;18.687; 0.637
250.3086717;+36.5027594;18.703; 0.446
250.3128842;+36.5147319;18.711; 0.422
250.3696408;+36.5382381;18.711; 0.441
250.3765642;+36.5371439;18.720; 0.429
