_RAJ2000;_DEJ2000;RAJ2000;DEJ2000;Bmag;Vmag;Seq;rad;Pkin;Pph;Psp
 49.8419796071;+23.6656047183;  49.84198380;+023.66560326; 12.818; 11.269;  47; 6.4210; 0.0000; 0.0000;0
 49.8709843748;+19.7205400619;  49.87074363;+019.72058301;  9.030;  8.507;  47; 7.8952; 0.0000; 0.0000;0
 49.8773845770;+29.9864360060;  49.87739322;+029.98646719; 10.724; 10.128;  47; 8.4102; 0.0000; 0.0000;0
 49.8776000099;+23.3247861611;  49.87756189;+023.32486180; 11.140; 10.574;  47; 6.4381; 0.0000; 0.0000;0
 49.8837021172;+24.3829819687;  49.88367810;+024.38303250; 12.322; 12.508;  47; 6.3368; 0.0000; 0.0119;1
 49.8857883161;+26.3079690268;  49.88578804;+026.30798869; 12.346; 11.494;  47; 6.6025; 0.0000; 0.0000;0
 49.8864443673;+17.6507932522;  49.88644324;+017.65083428; 10.950;  9.729;  47; 9.2571; 0.0000; 0.0000;0
 49.8889440982;+29.4926834671;  49.88868555;+029.49285645; 11.704; 11.040;  47; 8.0885; 0.0000; 0.0000;0
 49.8936575753;+28.3450535918;  49.89363383;+028.34506013; 12.739; 10.754;  47; 7.4278; 0.0000; 0.0000;0
 49.8949996991;+26.1318445278;  49.89500265;+026.13183675; 12.156; 11.432;  47; 6.5474; 0.0000; 0.0000;0
 49.9000539852;+18.6718676868;  49.89996244;+018.67194160; 11.004; 10.057;  47; 8.5350; 0.0000; 0.0000;0
 49.9001982271;+18.6716500151;  49.90010661;+018.67172947; 11.429; 10.414;  47; 8.5351; 0.0000; 0.0000;0
 49.9023095606;+19.8369063910;  49.90227905;+019.83694720; 12.005; 11.820;  47; 7.8021; 0.0000; 0.0000;0
 49.9063380799;+19.5731070773;  49.90626972;+019.57315756;  9.477;  9.172;  47; 7.9557; 0.0000; 0.0000;0
 49.9065694427;+27.5425732232;  49.90659686;+027.54258856;  8.079;  7.907;  47; 7.0323; 0.0000; 0.0000;0
 49.9092797542;+24.8171561312;  49.90927276;+024.81714935; 11.672; 10.410;  47; 6.3247; 0.0000; 0.0377;1
 49.9134465655;+24.7670927837;  49.91344202;+024.76710394; 11.964; 11.366;  47; 6.3181; 0.0000; 0.6121;1
 49.9158434739;+24.7729669454;  49.91586513;+024.77297956; 10.690; 10.070;  47; 6.3163; 0.0000; 1.0000;1
 49.9180142276;+26.1167887261;  49.91799915;+026.11676549; 11.080;  9.941;  47; 6.5239; 0.0000; 0.0000;0
 49.9280702983;+18.4699326869;  49.92781555;+018.47002551; 11.830; 11.418;  47; 8.6512; 0.0000; 0.0000;0
 49.9284441407;+19.0716658364;  49.92842493;+019.07168601; 12.012; 10.743;  47; 8.2519; 0.0000; 0.0000;0
 49.9314887032;+22.6162894426;  49.93149339;+022.61630546; 12.199; 11.333;  47; 6.5476; 0.0000; 0.0000;0
 49.9420328734;+25.1702516679;  49.94203073;+025.17025772; 12.148; 11.136;  47; 6.3263; 0.0000; 0.9703;1
 49.9448980995;+24.6617609093;  49.94489542;+024.66179151; 12.261; 12.161;  47; 6.2850; 0.0000; 0.0601;1
 49.9471628984;+24.6712977642;  49.94716177;+024.67131016; 10.446;  9.976;  47; 6.2833; 0.0000; 0.4214;1
 49.9490059977;+19.0762513644;  49.94898637;+019.07627217;  7.372;  7.411;  47; 8.2336; 0.0000; 0.0000;0
 49.9566119741;+26.4447703918;  49.95663855;+026.44478568; 11.956; 12.468;  47; 6.5828; 0.0000; 0.0000;0
 49.9621987276;+29.1458972794;  49.96221267;+029.14591546; 12.744; 10.726;  47; 7.8288; 0.0000; 0.0000;0
 49.9623505231;+23.4373294887;  49.96236583;+023.43737127; 12.861; 11.620;  47; 6.3425; 0.0000; 0.9260;1
 49.9672605754;+24.0668054761;  49.96721274;+024.06683999; 10.337;  9.827;  47; 6.2710; 0.0000; 0.9339;1
 49.9676124981;+20.2771682126;  49.96753536;+020.27719123;  8.655;  8.338;  47; 7.5010; 0.0000; 0.0000;0
 49.9703597516;+25.6350042951;  49.97030400;+025.63515200; 13.253; 12.027;  47; 6.3718; 0.0069; 0.9136;1
 49.9707983330;+20.4141731401;  49.97081255;+020.41421322; 11.964; 11.648;  47; 7.4241; 0.0000; 0.0000;0
 49.9711012187;+24.2909537912;  49.97098362;+024.29102401; 11.488; 11.026;  47; 6.2587; 0.0000; 0.2245;1
 49.9726831755;+25.1928542446;  49.97266209;+025.19287313; 11.357; 10.790;  47; 6.3016; 0.0000; 0.4533;1
 49.9800595957;+21.7184943582;  49.98008455;+021.71870832; 10.120;  9.441;  47; 6.8060; 0.0000; 0.0000;0
 49.9802877675;+26.0872311154;  49.98028452;+026.08725248; 12.567; 11.420;  47; 6.4631; 0.0000; 0.0000;0
 49.9810193376;+25.6149244229;  49.98101971;+025.61493310; 10.991;  9.575;  47; 6.3586; 0.0000; 0.0000;1
 49.9819559030;+21.5164488092;  49.98191327;+021.51649358;  9.398;  8.748;  47; 6.8866; 0.0000; 0.0000;0
 49.9824846733;+27.0711347950;  49.98255371;+027.07130717;  6.765;  5.916;  47; 6.7780; 0.0000; 0.0000;0
 49.9877013171;+18.6997212069;  49.98770435;+018.69971270; 12.561; 11.810;  47; 8.4526; 0.0000; 0.0000;0
 49.9952061567;+20.3009868549;  49.99523669;+020.30101065; 12.258; 11.476;  47; 7.4656; 0.0000; 0.0000;0
 50.0004530460;+22.4068891390;  50.00042726;+022.40689033; 12.822; 12.296;  47; 6.5467; 0.0000; 0.0000;0
 50.0016068392;+21.6971941879;  50.00161307;+021.69722649; 12.423; 11.490;  47; 6.7958; 0.0000; 0.0000;0
 50.0016933580;+27.3250004193;  50.00169007;+027.32503102; 12.478; 11.960;  47; 6.8649; 0.0000; 0.0000;0
 50.0067944915;+23.2751465612;  50.00672382;+023.27520803; 12.736; 11.718;  47; 6.3292; 0.0000; 1.0000;1
 50.0074955550;+18.2167155879;  50.00749208;+018.21673214; 11.698; 11.246;  47; 8.7697; 0.0000; 0.0000;0
 50.0099786741;+23.4409921851;  50.00995933;+023.44100864;  9.548;  9.282;  47; 6.2985; 0.0000; 0.0000;1
 50.0157909853;+17.7234795786;  50.01580974;+017.72347603; 11.447; 10.807;  47; 9.1163; 0.0000; 0.0000;0
 50.0166498800;+20.2682963637;  50.01666654;+020.26832152; 10.568;  9.530;  47; 7.4663; 0.0000; 0.0000;0
 50.0204184921;+25.9512896704;  50.02045306;+025.95130666; 13.424; 11.880;  47; 6.3952; 0.0000; 0.7231;1
 50.0216571811;+21.9907877354;  50.02167726;+021.99081785; 11.816; 11.284;  47; 6.6668; 0.0000; 0.0000;0
 50.0248291976;+25.3061778257;  50.02483051;+025.30616910; 11.023; 10.820;  47; 6.2699; 0.0000; 0.0000;1
 50.0327499346;+21.6704271594;  50.03275221;+021.67046109; 11.580; 10.914;  47; 6.7795; 0.0000; 0.0000;0
 50.0332164106;+18.5914970257;  50.03321638;+018.59152155; 12.965; 12.157;  47; 8.4927; 0.0000; 0.0000;0
 50.0355870547;+21.0944364817;  50.03543838;+021.09457252; 10.985; 10.323;  47; 7.0284; 0.0000; 0.0000;0
 50.0403872632;+30.0919961926;  50.04041477;+030.09201221; 12.999; 10.965;  47; 8.3801; 0.0000; 0.0000;0
 50.0416947062;+30.0915305816;  50.04160847;+030.09159154; 12.036; 11.423;  47; 8.3791; 0.0000; 0.0000;0
 50.0442362017;+18.2666586583;  50.04421227;+018.26670270; 10.907; 10.438;  47; 8.7089; 0.0000; 0.0000;0
 50.0449560442;+18.6108661568;  50.04499395;+018.61087707; 12.105; 11.521;  47; 8.4711; 0.0000; 0.0000;0
 50.0465726202;+25.2998735568;  50.04655549;+025.29984072; 11.906; 11.097;  47; 6.2497; 0.0000; 1.0000;1
 50.0470623042;+25.7065316487;  50.04701766;+025.70651918; 11.023; 10.459;  47; 6.3186; 0.0000; 0.6870;1
 50.0515723856;+28.3229744744;  50.05149323;+028.32305478;  9.402;  8.954;  47; 7.3023; 0.0000; 0.0000;0
 50.0536130012;+25.2979502579;  50.05361513;+025.29795631; 12.431; 11.790;  47; 6.2432; 0.0000; 0.7212;1
 50.0538853837;+21.0199689476;  50.05388215;+021.01999109; 11.630; 11.028;  47; 7.0482; 0.0000; 0.0000;0
 50.0548170888;+18.0700273818;  50.05480428;+018.07016517; 12.151; 11.806;  47; 8.8402; 0.0000; 0.0000;0
 50.0676993327;+20.8822722279;  50.06777082;+020.88228703; 12.370; 11.492;  47; 7.1035; 0.0000; 0.0000;0
 50.0692959940;+25.8434988276;  50.06927952;+025.84350172; 12.095; 11.795;  47; 6.3283; 0.0000; 0.0657;1
 50.0783672253;+19.4319442062;  50.07836988;+019.43191205; 11.187; 10.445;  47; 7.9106; 0.0000; 0.0000;0
 50.0808971951;+24.7640938251;  50.08086561;+024.76417328; 12.194; 11.768;  47; 6.1668; 0.0005; 0.3584;1
 50.0840031073;+19.7297137186;  50.08394865;+019.72975742;  8.587;  8.409;  47; 7.7238; 0.0000; 0.0000;0
 50.0848336939;+29.0484606035;  50.08485949;+029.04849835;  6.034;  4.459;  47; 7.6885; 0.0000; 0.0000;0
 50.0859884495;+19.7303579611;  50.08594383;+019.73039160;  8.470;  8.293;  47; 7.7219; 0.0000; 0.0000;0
